Feature,Model,Target,F1-micro,F1-macro
Interaction,Logistic,Overgeneralization,0.5725304802189599,0.46452132160973625
Interaction,RandomForest,Overgeneralization,0.7432197063946255,0.5229344375431332
Interaction,Logistic,Should Statements,0.663349091813884,0.5006662580320801
Interaction,RandomForest,Should Statements,0.8651405822343866,0.6485672928992555
Interaction,Logistic,Personalization,0.6902214481214233,0.5198546222216891
Interaction,RandomForest,Personalization,0.7887534212490669,0.529238193983117
Interaction,Logistic,Mental Filter,0.7603881562577756,0.556777942748579
Interaction,RandomForest,Mental Filter,0.8352824085593431,0.5842347956754811
Interaction,Logistic,Disqualifying the Positive,0.854192585220204,0.6737246198519307
Interaction,RandomForest,Disqualifying the Positive,0.9201293854192585,0.7675842780127278
Interaction,Logistic,Jumping to Conclusions,0.6023886538940035,0.5510558191685984
Interaction,RandomForest,Jumping to Conclusions,0.6817616322468276,0.5778446288186296
Interaction,Logistic,Labeling and Mislabeling,0.5235133117690968,0.49057137544871465
Interaction,RandomForest,Labeling and Mislabeling,0.6874844488678776,0.5762683750696724
Interaction,Logistic,Magnification and Minimization,0.48544414033341626,0.39208217595775696
Interaction,RandomForest,Magnification and Minimization,0.8367753172430953,0.588003060367244
Interaction,Logistic,All-or-Nothing Thinking,0.5802438417516795,0.4613797610816872
Interaction,RandomForest,All-or-Nothing Thinking,0.7462055237621299,0.5024657159169026
Semantic,Logistic,Emotional Reasoning,0.6272704652898731,0.48673578094404724
Semantic,RandomForest,Emotional Reasoning,0.9390395620801194,0.48832531255569983
Semantic,Logistic,Overgeneralization,0.61259019656631,0.4850726537830797
Semantic,RandomForest,Overgeneralization,0.9293356556357303,0.4920175173125879
Semantic,Logistic,Should Statements,0.8061706892261756,0.5956270961790596
Semantic,RandomForest,Should Statements,0.9616820104503608,0.7189428809119873
Semantic,Logistic,Personalization,0.6643443642697189,0.5004558581433955
Semantic,RandomForest,Personalization,0.9400348345359543,0.5228197696616953
Semantic,Logistic,Mental Filter,0.7061458074147798,0.5216414063409406
Semantic,RandomForest,Mental Filter,0.9552127394874347,0.6758870967741936
Semantic,Logistic,Disqualifying the Positive,0.8830554864394128,0.712637540512154
Semantic,RandomForest,Disqualifying the Positive,0.9693953719830803,0.8423015047387356
Semantic,Logistic,Jumping to Conclusions,0.6660860910674297,0.5980985624985842
Semantic,RandomForest,Jumping to Conclusions,0.8626524010947997,0.5989195990801406
Semantic,Logistic,Labeling and Mislabeling,0.7539188852948495,0.6619829928111269
Semantic,RandomForest,Labeling and Mislabeling,0.8825578502114954,0.7018152323585446
Semantic,Logistic,Magnification and Minimization,0.6907190843493406,0.5111090777152482
Semantic,RandomForest,Magnification and Minimization,0.966409554615576,0.7769741588205916
Semantic,Logistic,All-or-Nothing Thinking,0.6337397362527992,0.4901202067937454
Semantic,RandomForest,All-or-Nothing Thinking,0.9382931077382434,0.4840821566110398
