Scenario,Thought,Distortion Type,label
"Gần đây bạn muốn xem ảnh tốt nghiệp của mình, nhưng bạn tìm mãi không thấy.","Ngay cả thứ quý giá như vậy mình cũng có thể làm mất, các bạn cùng lớp sẽ nghĩ về mình như thế nào, họ chắc chắn sẽ nghĩ mình là một kẻ vô ơn, một người lòng lang dạ thú.",Labeling and Mislabeling,1
"Bạn là con út trong gia đình, bạn cảm thấy mình bị bố mẹ bỏ bê.","Mình biết lý do họ dường như bỏ bê mình là vì bố mẹ bận công việc, chỉ cần mình nói cho họ biết cảm xúc của mình, họ sẽ quan tâm mình hơn.",Non-distorted,0
"Bạn luôn nghĩ mình là nhân viên xuất sắc nhất công ty, nhưng bạn nghe thấy sếp không nghĩ như vậy.","Mình không phải là bác sĩ xuất sắc nhất, sự nghiệp bác sĩ của mình thật tệ.",All-or-Nothing Thinking,1
"Từ trước đến nay bạn ít liên lạc với gia đình, chỉ gửi tin nhắn.","Mình và gia đình sẽ dần xa cách, cho đến khi mất liên lạc hoàn toàn.",Fortune-telling,1
"Bạn cảm thấy ở vị trí công việc, đồng nghiệp mỗi ngày đều rất nỗ lực, tạo áp lực cho bạn.","Anh ấy chắc chắn không có thời gian hẹn hò hay tận hưởng cuộc sống, chỉ biết làm việc, cuộc sống như vậy thật vô vị.",Mind Reading,1
"Bạn bơi bị chuột rút, hơi buồn.","Không được rồi, bị chuột rút rồi, phải lên bờ nghỉ ngơi ngay, ở dưới nước thêm có thể sẽ gặp vấn đề.",Non-distorted,0
"Hai đứa trẻ không có bạn chăm sóc, hướng dẫn, dần dần nảy sinh vấn đề hành vi, bài vở ở trường cũng không đạt yêu cầu.","Trẻ con bây giờ đều như vậy, có bố mẹ yêu thương vô điều kiện nhưng lại không coi trọng, điều kiện tốt như vậy mà lại không biết trân trọng, lãng phí hết.",All-or-Nothing Thinking,1
"Bây giờ là năm cuối đại học, nhưng gần đây bạn vẫn đang phân vân giữa việc học lên thạc sĩ hay đi làm, dao động không quyết định được.","Dù làm gì cũng không có kết quả tốt, mình căn bản là một kẻ vô dụng.",All-or-Nothing Thinking,1
"Những người xung quanh đã nói với người khác về bí mật bạn thích một bạn nam lớp bên cạnh, và tin đồn đó đã đến tai bạn.",Bạn nam đó cũng biết rồi sao? Anh ấy chắc chắn sẽ nghĩ mình rất buồn cười.,Mind Reading,1
"Sếp quyết định giảm lương của tất cả nhân viên, bạn cảm thấy rất buồn.","Sếp cố tình giảm lương, chính là để ép chúng tôi tự nguyện rời công ty.",Mind Reading,1
"Hôm nay bị giáo viên giao một nhiệm vụ tạm thời, gấp gáp và đầy thách thức.","Thầy giáo tin tưởng mình, nhưng người như mình chắc chắn sẽ phụ lòng tin của thầy.",Emotional Reasoning,1
"Đi trên đường, một con chó hoang lao đến cắn bạn.","Mình chắc chắn đã bị bệnh dại rồi, gia đình và bạn bè mình chắc chắn rất sợ mình.",Mind Reading,1
"Trong dòng xe cộ đông đúc, một chiếc xe vượt lên phía trước chúng ta.","Mẹ kiếp, đáng sợ quá, mình cảm thấy cả đời này mình sẽ bị ám ảnh bởi việc lái xe mất thôi.",Overgeneralization,1
Vô tình bị nước sôi làm bỏng tay.,"Đều là do mình quá ngu ngốc, nên mình mới bị nước sôi làm bỏng.",Emotional Reasoning,1
"Gần đây vì dịch bệnh, cửa hàng bánh của bạn kinh doanh không tốt lắm.","Một khi dịch bệnh được kiểm soát, tôi tin rằng công việc kinh doanh chắc chắn sẽ hồi phục.",Non-distorted,0
"Bạn cảm thấy ở vị trí công việc, đồng nghiệp mỗi ngày đều rất nỗ lực, tạo áp lực cho bạn.",Mình đúng là một kẻ vô dụng không có năng lực.,Labeling and Mislabeling,1
"Từ nhỏ đã thề rằng khi lớn lên sẽ thành công trong sự nghiệp và gia đình hạnh phúc. Khi lớn lên, lại phát hiện, lương tháng 3 triệu cũng phải tăng ca vất vả. Mỗi tháng trả tiền thuê nhà, chi phí sinh hoạt, tiền tiết kiệm ít ỏi.","Mình cả đời này sẽ không thoát khỏi cuộc sống như vậy, sẽ mãi mãi vật lộn trong cái hố không đáy này.",Overgeneralization,1
"Bố mẹ gần đây đang cãi nhau, không quan tâm bạn nhiều.","Họ không yêu nhau cũng không yêu mình, không có tình cảm, chỉ là cái vỏ rỗng tuếch, dằn vặt lẫn nhau.",Mind Reading,1
"Bạn cảm thấy ở vị trí công việc, đồng nghiệp mỗi ngày đều rất nỗ lực, tạo áp lực cho bạn.","Anh ấy không chỉ chăm chỉ, mà còn rất có mục tiêu và ý chí cầu tiến nữa, còn biết cách lập kế hoạch công việc tốt.",Non-distorted,0
"Gần đây bạn bị gãy xương, mỗi lần bạn bè đều phải đi cùng bạn xuống lầu, đưa bạn đi học.","Biết rõ sự làm phiền của mình đã ảnh hưởng đến điểm thi của anh ấy, mình làm phiền anh ấy khiến anh ấy thi lần này đều bị điểm kém.",Personalization,1
"Thầy giáo giao một thí nghiệm có vẻ rất phiền phức, mình đã trì hoãn một thời gian rồi.","Cứ thế này thầy giáo chắc chắn sẽ nghĩ mình không chăm học, thầy sẽ ghét mình.",Fortune-telling,1
"Khi bạn đang nói chuyện với ai đó, điện thoại của người đó đổ chuông, nhưng người đó không nhấc máy.","Cuộc nói chuyện của chúng ta chỉ là chuyện phiếm, lỡ như điện thoại của anh ấy có chuyện quan trọng thì mình thành tội đồ rồi.",Personalization,1
"Bạn đầu tư một khoản tiền, mất đi một phần vốn của mình, đầu tư thất bại.","Những khoản vốn đó và kỳ vọng của gia đình mình, tất cả đều tan vỡ. Họ bây giờ chắc chắn rất thất vọng về mình.",Mind Reading,1
"Gần đây bạn không về nhà, bố bạn tìm bạn nói chuyện, lời nói có chút kích động và tức giận.","Mình mau nhận lỗi đi, không về nhà đúng là không đúng lắm, bố đã có chút kích động rồi, tuyệt đối không được làm ông ấy tức giận hơn.",Non-distorted,0
Bạn đột nhiên phát hiện nhà mình bị trộm.,"Tiền của mình đều để dành mua nhà mới, bây giờ phải làm sao đây, cuộc đời mình đều bị thằng trộm đáng chết này phá hỏng rồi! Mình sẽ không bao giờ thực hiện được ước mơ của mình nữa.",All-or-Nothing Thinking,1
"Bạn đối mặt với các hoạt động đa dạng của trường học, đầy hứng thú, nhưng lại lo sợ thất bại.",Dù mình có thành công thì mọi người chắc chắn cũng không muốn chơi với người có tính cách như mình.,Mind Reading,1
"Bạn và bạn bè mỗi ngày đều ăn cơm cùng nhau, đột nhiên một ngày cô ấy không đến tìm bạn ăn cơm.","Mình mỗi ngày đều ăn cơm cùng cô ấy, chắc chắn là mình ăn chậm, cô ấy chắc chắn nghĩ mình đang lãng phí thời gian của cô ấy, nên không ăn cơm cùng mình.",Mind Reading,1
"Bạn tham gia câu lạc bộ nhưng cũng không kết bạn được, không có ai quen biết.","Mình tham gia câu lạc bộ vì sở thích, có kết bạn hay không cũng không quan trọng.",Non-distorted,0
"Bạn bị chụp ảnh khỏa thân cưỡng bức, bạn rất đau khổ, không dám nói cho ai biết.","Mình phải đưa những kẻ gây tổn thương tâm lý cho mình ra trước pháp luật, mình phải lấy hết can đảm.",Non-distorted,0
Đồ ăn đặt mua bị trộm.,"Mình đúng là lười biếng quá, nếu sớm xuống lầu chờ đồ ăn thì sẽ không bị người khác trộm mất, tất cả là do mình tự làm tự chịu.",Personalization,1
"Bạn và bạn bè mỗi ngày đều ăn cơm cùng nhau, đột nhiên một ngày cô ấy không đến tìm bạn ăn cơm.","Người ta có thể có việc gì đó, đột nhiên hiểu tại sao có người thích xem ăn uống rồi.",Non-distorted,0
"Ăn nhiều đồ ăn có hàm lượng calo cao, cân nặng vẫn không thể giảm xuống.","Mình chỉ cần ra ngoài là sẽ cảm thấy những người xung quanh thì thầm, họ chắc chắn đang chế giễu thân hình béo phì của mình, mình xấu hổ cúi đầu xuống.",Mind Reading,1
"Gần đây bạn muốn xem ảnh tốt nghiệp của mình, nhưng bạn tìm mãi không thấy.","Mình hơi buồn, nhưng kỷ niệm được lưu giữ trong lòng mình, mình nghĩ con người phải nhìn về phía trước, chuyện nhỏ này không đáng gì.",Non-distorted,0
"Khi phỏng vấn, HR cho biết bạn không đáp ứng yêu cầu của công ty chúng tôi.","Thật đáng tiếc, quả nhiên là người ngoài người, trời ngoài trời, mình phải tiếp tục cố gắng nâng cao bản thân.",Non-distorted,0
"Bạn bị chụp ảnh khỏa thân cưỡng bức, bạn rất đau khổ, không dám nói cho ai biết.","Có lẽ là do mình bất cẩn, tự đẩy mình vào vòng xoáy bi kịch, lúc này chỉ muốn thoát khỏi hiện thực.",Personalization,1
"Bạn đầu tư một khoản tiền, mất đi một phần vốn của mình, đầu tư thất bại.","Ban đầu mình đặt nhiều kỳ vọng vào dự án này, nhưng không sao cả, lần sau mình sẽ cẩn thận hơn khi chọn các dự án khác.",Non-distorted,0
"Kết quả đánh giá hiệu suất của đồng nghiệp, bạn đứng cuối cùng.","Sao lại là cuối cùng chứ, thật làm mình nản chí, mình nói thật, việc đánh giá hiệu suất tốt nhất là không nên tồn tại.",Labeling and Mislabeling,1
"Đi xếp hàng mua bánh ở tiệm bánh, chiếc bánh mình muốn mua vừa hết.","Ngay cả một cái bánh cũng không giành được, tương lai mình cũng sẽ không giành được gì cả.",Fortune-telling,1
"Bạn là một giáo viên, có học sinh ở trường không nghe lời, gây rối trong lớp.","Ở vị trí đó mà không thể làm tròn bổn phận, đáng lẽ nên nghỉ việc sớm rồi, đỡ phải ở đây học sinh không thích nghe, mình lại phải chịu đựng sự tức giận này mỗi ngày.",Emotional Reasoning,1
"Đột nhiên thức dậy lúc ba giờ sáng, bạn vẫn cảm thấy rất buồn ngủ, công việc ngày mai có thể bị ảnh hưởng.","Mình cảm thấy mình sắp chết rồi, mình thực sự ghét việc thức giấc giữa đêm.",Emotional Reasoning,1
"Bạn không phải là một đứa trẻ xinh đẹp, bạn cảm thấy hơi tự ti.","Thế giới này chỉ quan tâm đến những người xinh đẹp: mình sinh ra đã xấu, mình xấu cả đời, mình nghĩ mình sẽ không bao giờ đẹp hơn được nữa.",All-or-Nothing Thinking,1
"Bạn tái hôn, hai con riêng của chồng không chịu gọi bạn là “bố”, nói rằng bạn không phải là bố của chúng, không chịu nghe lời bạn.","Trẻ con đúng là không biết vị trí của mình, thật đáng ghét.",Labeling and Mislabeling,1
"Bạn tham gia câu lạc bộ nhưng cũng không kết bạn được, không có ai quen biết.","Tại sao mình không thể kết bạn được chứ, không có bạn bè mình buồn quá.",Emotional Reasoning,1
Đồ ăn đặt mua bị trộm.,"Mình vốn là một người xui xẻo, đồ ăn bị trộm chỉ là số phận của mình mà thôi, mình đã quen với những chuyện như vậy rồi.",Labeling and Mislabeling,1
"Mẹ chồng chê bạn vụng về, không đủ tinh tế.","Mẹ chồng sẽ không bao giờ ưa mình, sẽ không bao giờ hài lòng về mình.",Overgeneralization,1
"Bố thường lấy lý do bận công việc để ở lại trường đại học làm việc, ngay cả cuối tuần cũng không thường về nhà.","Mình không cảm thấy một chút quan tâm nào, không ai quan tâm mình, vậy thì cứ thế này mà sa sút đi, dù sao cũng không ai quan tâm.",Emotional Reasoning,1
"Thời thơ ấu, có một người đã xâm phạm bạn, bạn luôn canh cánh trong lòng về chuyện đó.","Đàn ông không có ai tốt đẹp cả, họ đều là động vật suy nghĩ bằng nửa thân dưới, là nô lệ của dục vọng.",Overgeneralization,1
"Bạn cảm thấy bạn cùng phòng dường như mỗi ngày đều có mối quan hệ rất tốt, nhưng bạn không thể hòa nhập.","Ngay cả bạn cùng phòng mình cũng không thể hòa hợp, cuộc đời này mình định là không thể kết bạn tri kỷ được rồi.",Overgeneralization,1
"Bạn làm việc rất vất vả, đồng nghiệp trực tiếp nhận công lao.","Sếp không thể không nhận ra một chút nào, ông ấy chắc chắn là mắt nhắm mắt mở với đồng nghiệp.",Mind Reading,1
"Gần đây công việc rất bận rộn, cấp trên tạo áp lực rất lớn cho bạn, nhưng các đồng nghiệp xung quanh dường như không có gì bất thường.","Áp lực lớn như vậy, vẫn chỉ có mình mình, sau này cuộc sống ở công ty chắc chắn sẽ rất khó khăn.",Overgeneralization,1
Hai tuần liên tiếp không nhận được tin nhắn hoặc cuộc gọi.,"Mình vốn không có nhiều liên hệ, điều này cũng bình thường.",Non-distorted,0
Bạn phát hiện bạn cùng phòng dường như đang âm thầm ganh đua với bạn.,Rõ ràng là cô ấy không muốn mình sống tốt hơn cô ấy.,Mind Reading,1
"Thật không may, gần đây bạn cảm thấy rất khó chịu, nhưng vẫn chưa tìm ra bệnh cụ thể.","Vẫn chưa biết tình hình thế nào, cứ chờ kết quả đi.",Non-distorted,0
"Chú chó nhỏ mà bạn đã nuôi nấng cẩn thận qua đời, bạn cảm thấy vô cùng đau buồn.","Nuôi chó thật là đau lòng, mình không dám nuôi nữa, nỗi đau này thật sự quá khó chịu.",Emotional Reasoning,1
"Đã trượt bằng lái xe nhiều lần rồi, việc học lái xe thất bại.","Ngay cả việc học lái xe cũng không hiểu được, mình không có khả năng học tập, mình là một kẻ vô dụng.",Labeling and Mislabeling,1
"Chồng nghĩ vợ mua quần áo mỗi tuần quá lãng phí, vợ nghĩ chồng cho tiền người nhà ở quê quá nhiều.","Mỗi người có một suy nghĩ khác nhau, chỉ cần làm rõ hiểu lầm, vì cách suy nghĩ của chúng ta đều là độc đáo.",Non-distorted,0
"Đi trên đường, một con chó hoang lao đến cắn bạn.","Chó hoang đúng là một tai họa, chỉ biết cắn người lung tung, làm hại tất cả mọi người!",Overgeneralization,1
"Bạn và bạn bè mỗi ngày đều ăn cơm cùng nhau, đột nhiên một ngày cô ấy không đến tìm bạn ăn cơm.",Cô ấy chắc là có việc gấp gì đó đột xuất thôi.,Non-distorted,0
"Bạn và bạn cùng phòng có nhiều khác biệt trong thói quen sinh hoạt, dẫn đến mâu thuẫn vì những chuyện nhỏ nhặt hàng ngày.","Lần nào cũng cãi nhau vì những chuyện vặt vãnh, sớm muộn gì chúng ta cũng sẽ đánh nhau thôi!",Fortune-telling,1
"Bạn và bạn bè mỗi ngày đều ăn cơm cùng nhau, đột nhiên một ngày cô ấy không đến tìm bạn ăn cơm.","Cô ấy không đến tìm mình ăn cơm, cảm thấy ăn cơm cũng không còn ngon nữa, hơi khó chịu.",Emotional Reasoning,1
"Hôm nay sếp phê bình bạn, nói bạn làm việc không đủ năng lực.","Ngay cả việc nhỏ này mình cũng không làm tốt được, xem ra mình sẽ không bao giờ làm tốt được công việc của mình.",Overgeneralization,1
"Bạn tự tin rằng mình sẽ có học bổng, nhưng không may lại trượt học bổng.","Cố gắng cho học bổng lần sau, mình phải nỗ lực hơn nữa.",Non-distorted,0
"Sếp quyết định giảm lương của tất cả nhân viên, bạn cảm thấy rất buồn.","Anh ta đột nhiên vô cớ giảm lương như vậy, tám phần là muốn sa thải chúng tôi, nhưng không tiện nói ra, nên muốn chúng tôi tự rút lui.",Mind Reading,1
"Bố mẹ lâm bệnh nặng, bạn không đủ tiền chữa trị.","Ước gì mình có thể thay bố mẹ mình bị bệnh, ước gì mình có thể thay bố mẹ mình chết đi.",Emotional Reasoning,1
"Đột nhiên bạn đi ra ngoài, phát hiện quần áo của mình bị ngược.","Chết rồi, quần áo bị ngược, cảm thấy thật xấu hổ phải làm sao đây, cả thế giới đang chú ý đến bộ dạng kỳ lạ này của mình.",All-or-Nothing Thinking,1
"Đầu tư thất bại, mất hết tiền tiết kiệm.","Họ sẽ không tin mình bị trầm cảm, gia đình mình sẽ nghĩ mình giả vờ, hoặc ai cũng có lúc cảm thấy buồn bã.",Mind Reading,1
"Hôm nay bố bạn say rượu, nổi giận đùng đùng, đá bạn ra khỏi nhà.","Chắc là do mình đã làm gì đó không tốt nên bố mới tức giận như vậy, mình nhất định phải tìm ra vấn đề để ông ấy không tức giận nữa.",Personalization,1
"Bạn tự tin rằng mình sẽ có học bổng, nhưng không may lại trượt học bổng.","Nỗ lực cũng vô nghĩa rồi, cũng không giải quyết được vấn đề.",All-or-Nothing Thinking,1
"Gần đây bạn bị gãy xương, mỗi lần bạn bè đều phải đi cùng bạn xuống lầu, đưa bạn đi học.","Anh ấy sẽ không giúp mình miễn phí đâu, ngấm ngầm mong mình sẽ trả ơn.",Mind Reading,1
