Num,场景,思维,标签
20,我的成绩不进步，父亲一看我就拉下脸来不理我。,他就是想让我给他考出好成绩，我根本就不是他亲生的。,读心术
21,你和最要好的朋友发生了争执，你们互不相让，表示要绝交。,跟最好的朋友我都能跟他吵起来，我的脾气什么时候能改一改，我就是脾气太差了，我就是一个暴脾气的人。,乱贴标签
22,你面对校园各种各样的活动，充满了兴趣，却又担心失败,我是一个自卑的人，我做什么事都肯定做不好,乱贴标签
23,室友和你聊天，你不同意她的观点,无论我花费多大的口舌，那天都没能说服他，和人交流传达自己的观点，是一件费力又没有成效的事，这样的事以后我不会再做了,情绪化推理
24,你走在路上，卡车过来溅了你一身水。,明明看到我在这里，这个卡车还溅我一身水，他就是故意的,读心术
25,从二流初中考入重点高中，你发现自己成绩下降了许多。,我天生就是笨脑袋，这些我都学不会的，我怎么学也学不好的,情绪化推理
26,"看到朋友需要送伞,私聊时被告知已经借到了。",他肯定觉得我好欺负，随便发朋友圈在拒绝我，肯定是这样的,读心术
27,我的成绩不进步，父亲一看我就拉下脸来不理我。,我爸爸会向妈妈说坏话，妈妈也不会爱我了,读心术
28,同学们都出去了，你一个人待在教室，感到自己有些孤独。,我一个人在宿舍里好孤独，他们出门不叫我，我一个人死在宿舍里都不会有人管了吧,过度泛化
29,最近你骨折了，每次都要你的朋友陪你去楼下，送你上课。,连上下楼梯都走不好还把腿摔断了，我可真是一个失败的人。,乱贴标签
30,你发现自己的朋友好像都慢慢找到了伴侣，但你还是一个人。,她们有了对象之后就不会再把感情的重心都放在我身上了，我们会渐行渐远,算命
31,父母总把你和其他孩子作对比，你感到很不开心。,很多人家的父母都愿意比较，习惯就好了,非扭曲
32,你25岁的儿子，仍然失去,我只能看着儿子跳水救人，但他自己没上来我却只能待在这轮椅上看着，我真是个废物父亲,乱贴标签
33,你感觉有的时候老师还没读完，你的同学就知道正确答案了。,这样的小事都不能争先，我还能做好什么呢，永远都追不上别人。,过度泛化
34,你爱人前段时候意外去世了。,世界上最爱我的人已经死了，我什么都没有了，我活着也没有意义，我现在立马死掉就好了,非黑即白
35,我的成绩不进步，父亲一看我就拉下脸来不理我。,我脑子就是那么笨，无论我做什么都没有任何进步，就像是个无用之人。,乱贴标签
36,你本来以为自己可以保研，但最后名单下来并没有你。,工作一项也难以完成，未来对我充满了绝望。,非黑即白
37,自己忘带了自己的作业，老师罚你去后面听课。,我是唯一被罚站的人，其他同学肯定在心里嘲笑我。,读心术
38,妈妈和我讨论未来计划，妈妈和我提了很多规划，表示了她对现状的担忧，但有些规划我不太认可。,无法按照自己的意愿活出自己的人生，我的存在就会变得无意义。,非黑即白
39,你看到别人周末一起出去玩，却没有人叫你出去玩。,我连朋友都没有，这样的人生完全没有任何意义，只有黑暗。,非黑即白
40,父母催着你结婚生子，感到很烦躁。,不能急功近利，如果还没到结婚的时机就不能妨碍对方，闲暇时，我应该把我的想法告诉父母。,非扭曲
41,父母总把你和其他孩子作对比，你感到很不开心。,全天下的父母一个样，他们从来不会在乎小孩的情绪,过度泛化
42,你和最要好的朋友发生了争执，你们互不相让，表示要绝交。,他是很久之前就想跟我闹掰吧，这明明就是一件小事，根本没必要,读心术
43,新冠疫情时候，你作为医护人员需要无偿加班,我该怎么做才能结束这样的生活,情绪化推理
44,你和父母大吵了一架，事后父母很伤心，你感觉很愧疚。,是把我生下来，却总跟他们吵架，惹他们生气，他们一定很后悔生了我这样的孩子吧。,读心术
45,你一直生活在一个经济状况比较差的家庭，父母收入并不高。,我是一个穷鬼，身边的人不会看得起我，我每天都生活在吃不饱穿不暖的痛苦中，我好想死。,乱贴标签
46,你最近想看自己的毕业照，但你怎么也找不到了。,肯定是我那个同居的室友乱翻我东西拿走的，他肯定还在因为上次的事情生我的气，这次就是他故意报复我。,读心术
47,最近刚升了职，但害怕自己的能力不能胜任,我刚升职，这是领导对我能力的信任，我应该更加努力,非扭曲
48,你最近想看自己的毕业照，但你怎么也找不到了。,我连这么珍贵的东西都能弄丢，同学们得怎么看我，他们一定会觉得我一点情意都没有是个狼心狗肺的人。,乱贴标签
49,你是家里最小的孩子，你感到自己被父母忽视了。,我知道他们之所以看似忽视我，是因为父母忙于工作，只要我告诉他们我的感受，他们就会更关心我。,非扭曲
50,你一直以为自己是公司最出色的员工，但是你听见老板并不是如此认为。,我并不是最出色的医生，我的医生生涯糟透了。,非黑即白
51,你一直以来的状态和家人联系比较少，只发发短信,我和家人会渐渐疏远，直到完全失去联系,算命
52,你觉得工作岗位上，同事每天都很努力，给你带来了压力。,他肯定都没时间谈恋爱过生活，只知道工作，这种日子过着多没意思,读心术
53,你游泳抽筋了，有些难过。,不行，抽筋了，得赶紧上岸休息一会，再在水里呆着可能会出问题,非扭曲
54,两个孩子没有你在旁照顾、督导，慢慢发生了行为问题，学校功课也不及格。,现在的小孩都是这样，有父母无尽的疼爱却不当回事，这么好的条件却不珍惜全都浪费了。,非黑即白
55,现在大四了，但是最近你一直在纠结究竟是考研还是工作，摇摆不定,不论做什么都没有好的结果，我根本就是个废物。,非黑即白
56,周围的人跟别人说了你喜欢隔壁班男生的秘密，还传到了你的耳朵里。,那个男生也知道了吗？他一定会认为我很可笑吧,读心术
57,老板决定降低你们所有员工的薪水，你感到很难过。,老板故意降低薪水，就是为了逼我们主动离开公司。,读心术
58,今天被老师安排了一个临时性的、时间紧急又极具挑战性的任务,老师是因为信任我，但我这样的人一定会辜负她的信任,情绪化推理
59,走在路上，一只流浪狗冲过来咬了你。,我现在一定得狂犬病了，我的家人和朋友们肯定非常害怕我,读心术
60,滚滚车流中，一辆车超到了我们的前面。,妈的，太吓人了，我感觉我这一辈子都要对开车的有心理阴影了,过度泛化
61,不小心被开水烫到手,都是因为我太蠢了，所以我才会被开水烫到,情绪化推理
62,我最近因为疫情，你的蛋糕店经营不是很好。,一旦疫情有所缓解，我相信业务肯定会回暖。,非扭曲
63,你觉得工作岗位上，同事每天都很努力，给你带来了压力。,我就是个没有能力的废物,乱贴标签
64,从小立下苦誓，长大后要事业有成。家庭美满。长大后，却发现，月入3k也得拼命加班。每个月交房租生活费，存款寥寥无几,我一辈子都逃不出这种生活，永远都会在这个无底洞里挣扎。,过度泛化
65,父母最近在吵架，没有太管你。,他们不爱彼此也不爱我，没有感情，只是虚无的空壳，彼此折磨。,读心术
66,你觉得工作岗位上，同事每天都很努力，给你带来了压力。,他不仅用功，而且还很有目标和上进心啊，还懂得好好计划工作。,非扭曲
67,最近你骨折了，每次都要你的朋友陪你去楼下，送你上课。,深知我的打扰影响了他的考试成绩，我麻烦他让他这次考试都考差了,个人化归责
68,老师布置了一个看似非常麻烦的实验，我已经拖延了一段时间,这样下去老师一定会觉得没有用功学习，他会讨厌我的,算命
69,你正和某人谈话时，对方的手机响了，但他并没有接起来,我们的谈话只是闲聊，万一他的电话里有什么重要的事我就成了罪人了,个人化归责
70,你做了一笔投资，花掉了自己的一部分资金，投资失败。,那些资金以及我家人的期待，全部破碎了。他们现在肯定是对我失望透顶,读心术
71,你最近夜不归宿，父亲找你谈话，言语中有些激动与愤怒。,我赶紧认错吧，夜不归宿确实不太对，父亲现在已经有些激动了，千万不能忍他更生气了,非扭曲
72,你突然发现自己家中被盗了。,我的钱都是留着买新房的，现在可怎么办，我的人生都被这该死的小偷毁了！我再也没法实现我的梦想了。,非黑即白
73,你面对校园各种各样的活动，充满了兴趣，却又担心失败,就算我成功了大家也肯定不想和我这样性格的人玩,读心术
74,你和朋友每天一起吃饭，突然有一天她没来找你吃饭。,我每天都在跟他吃饭，肯定是我吃饭慢，他肯定是觉得我在浪费他的时间，所以不跟我吃饭,读心术
75,你加入的社团也没交到朋友，熟人都没有,我加入社团是因为兴趣爱好，交不交朋友也无所谓。,非扭曲
76,你被强行拍了裸照，你很难受，不敢告诉其他人。,我要将对我造成心理伤害的人绳之以法，我要鼓起勇气,非扭曲
77,点的外卖被偷了。,我就是太懒，如果早点下楼等着外卖，就不会被别人偷走了，这一切都是我自作自受。,个人化归责
78,你和朋友每天一起吃饭，突然有一天她没来找你吃饭。,人家可能有什么事，忽然理解为什么有人喜欢看吃播了。,非扭曲
79,吃了很多高热量食物，体重还是无法降下来。,我只要出门就会感觉周围的人窃窃私语，他们一定在嘲笑我肥胖的身体，我羞愧的低下了头。,读心术
80,你最近想看自己的毕业照，但你怎么也找不到了。,我有些难过，但回忆是保存在我心中的，我想做人要向前看，这点小事没什么。,非扭曲
81,应聘的时候，HR表示你不符合我们公司的要求。,好可惜，果真是人外有人，天外有天，我要继续努力提高自己。,非扭曲
82,你被强行拍了裸照，你很难受，不敢告诉其他人。,或许是我的不小心，将自己引入了悲剧的漩涡，此刻只想逃离现实。,个人化归责
83,你做了一笔投资，花掉了自己的一部分资金，投资失败。,本来我对这个项目寄予厚望的，不过没关系，下次我会更仔细地选择其他的项目。,非扭曲
84,同事评绩效结果，你垫底了。,怎么会是最后呢，真打消我的积极性，要我说评绩效最好是就不该存在。,乱贴标签
85,去蛋糕店排队买蛋糕，想要的蛋糕刚好被卖完。,连个蛋糕都抢不到，未来我也同样什么都抢不到。,算命
86,你是一名老师，有学校的小孩不听话，上课捣乱。,在其位却不能谋其职，早该辞职不干了，省的在这里同学们也不爱听，我还天天受这气。,情绪化推理
87,突然凌晨三点起床，你还是感觉很困，明天工作可能受影响。,我感觉我要死掉了，我真的讨厌半夜惊醒,情绪化推理
88,你并不是一个长得好看的孩子，你感到有些自卑。,这个世界只在乎漂亮的人：我生来就是丑的，我一辈子都是丑的，我想我永远也不会变得更漂亮了,非黑即白
89,你再婚了，两个继子都不肯喊你“爸爸”，说你根本就不是他们的父亲，不服他管教，,小孩子真是搞不清自己的定位，让人讨厌,乱贴标签
90,你加入的社团也没交到朋友，熟人都没有,为什么我交不到朋友呢，没有朋友我好难过啊,情绪化推理
91,点的外卖被偷了。,我本来就是一个倒霉的人，外卖被偷只是我的宿命而已，我早已习惯这种事情。,乱贴标签
92,婆婆嫌你粗手粗脚的，不够体贴。,婆婆永远也看不惯我，永远也不会对我满意,过度泛化
93,父亲常以工作忙为借口，留在大学工作，连周末也不常回家。,我感受不到一丝关心，没有人在乎我，那不如就这样堕落下去吧，反正没人在意,情绪化推理
94,你童年时，有一个人对你实施了侵犯，你一直对此耿耿于怀。,男人没有一个是好东西，他们都是下半身思考的动物，是欲望的奴隶。,过度泛化
95,你觉得室友好像天天关系很好，但你无法融入。,我连室友都相处不好，我这辈子注定交不到知心朋友了。,过度泛化
96,你很辛苦做的事情，同事直接把功劳接过去了。,老板不可能一点也察觉不到，他一定是对同事睁一只眼闭一只眼。,读心术
97,最近工作特别忙碌，上司给了你很大的压力，但周围同事看起来没有什么异常。,压力这么大，还是只有我一个，以后在公司的日子肯定会很难熬的,过度泛化
98,连续两周没接到消息或电话。,我本来就没有多少联系人，这也正常。,非扭曲
99,你发现室友好像在和你暗暗较劲。,很明显，她不希望我过得比他好,读心术
100,很不幸，你最近很难受，还没查出来具体疾病。,还不知道什么情况呢，静待结果把,非扭曲
101,你精心饲养的小狗去世了，你感到非常伤心难过。,养狗真是让人伤心，我再也不敢养了，这种痛苦实在太难忍受。,情绪化推理
102,驾校已经挂了很多次了，学车失败了。,连个车都学不明白，我没有学习能力，我是个废物,乱贴标签
103,丈夫觉得妻子每周买衣服太浪费，妻子觉得丈夫给老家人的钱太多了,每个人的想法都不一样，只需澄清误会，因为我们的思维方式都是独特的。,非扭曲
104,走在路上，一只流浪狗冲过来咬了你。,流浪狗就是个祸害，只会到处咬人，让所有人都受到伤害！,过度泛化
105,你和朋友每天一起吃饭，突然有一天她没来找你吃饭。,她应该是临时有什么急事吧,非扭曲
106,你与舍友生活习惯差异较大，因日常生活琐事产生冲突,每次都能因为一点鸡毛蒜皮的小事吵起来，迟早有一天我们会打起来！,算命
107,你和朋友每天一起吃饭，突然有一天她没来找你吃饭,她没来找我吃饭，感觉吃饭都不香了有点难受。,情绪化推理
108,领导今天批评了你，说你工作能力不足。,我连这点小事都干不好，看来我永远也干不好我的工作。,过度泛化
109,你觉得自己肯定是有奖学金的，但很不幸因奖学金落空了。,争取下一次的奖学金，我必须更加刻苦努力。,非扭曲
110,老板决定降低你们所有员工的薪水，你感到很难过。,他突然无缘无故就这么降工资，八成是想辞退我们，又不好开口，就想让我们知难而退,读心术
111,父母重病，你没有足够的钱医治。,要是我能替我父母生病，要是我能替我父母死去就好了,情绪化推理
112,突然你走在外面，发现自己衣服反了。,坏了，衣服反了，感觉好尴尬怎么办，全世界都在注视着我这么奇怪的打扮,非黑即白
113,投资失败，失去了自己的存款,他们不会相信我抑郁的，我的家人会认为我是装的，或者每个人有时都会感到情绪低落,读心术
114,你的父亲今天喝醉了酒，暴怒，把你一脚踢出门外。,爸爸应该是因为我哪里做的不好，才会这样生气的，我一定要找出问题所在，才能让他不再生气。,个人化归责
115,你觉得自己肯定是有奖学金的，但很不幸因奖学金落空了。,努力也毫无意义了，也解决不了问题,非黑即白
116,最近你骨折了，每次都要你的朋友陪你去楼下，送你上课。,他不会白白帮助我的，暗中期望我会还回去。,读心术
117,你和最要好的朋友发生了争执，你们互不相让，表示要绝交。,在这段时期内，我仿佛失去了对我的世界的控制，所有事物都显得混乱。,非扭曲
118,滚滚车流中，一辆车超到了我们的前面。,我十分生气摇下车窗对他破口大骂，却为无法控制自己的行为而感到懊恼，认为自己自制力低下，是控制不了情绪的废物。,非黑即白
119,老师交给你的项目，你没有如期推进，被老师批评。,反正这个项目我也不想做，老师还给我摆脸色，这个项目跟我过不去，干脆不做了,情绪化推理
120,你辛辛苦苦做了家务，父母没有看见,做完家务我自己也很开心，偶尔劳动一下的感觉还是很不错的。,非扭曲
121,你努力学习，本来期待着考出好成绩，但你只是勉强及格。,看来我在这部分知识的掌握上仍有些不足,非扭曲
122,你成绩很差，虽然很努力学习了，但是结果还是不理想。,这不是我擅长的内容，不必纠结于此，花更多精力在自己感兴趣的领域，得到一些理想的成就。,非扭曲
123,师弟认为你对他的培养不够,他一定是最近工作没有做好，遇到了瓶颈期，故意向我找茬,算命
124,现在大四了，但是最近你一直在纠结究竟是考研还是工作，摇摆不定,我到底是考研还是工作呢，做选择好难，好纠结。,非扭曲
125,投资失败，失去了自己的存款,我沉溺于自我崇拜，项目失败的责任全在我，我害了我的家人，我是个罪人。,个人化归责
126,朋友约你出去吃饭，但此时实际上你已经有约了。,他不再拿我当朋友了，他会和那些讨厌我的人一起合起伙来欺负我，我的生活再也不会有片刻的安宁。,算命
127,最近你骨折了，每次都要你的朋友陪你去楼下，送你上课。,万一她只是碍于面子不好意思拒绝我的请求怎么办，万一她也在心里觉得我很麻烦怎么办,读心术
128,你并不是一个长得好看的孩子，你感到有些自卑。,每次走在街上，我都觉得别人在嘲笑我的相貌,读心术
129,你出门没有带伞，但突然天空开始下雨，雨下的很大，你不是很开心。,衣服都湿了，等会不会遇到熟人吧，那也太尴尬了，好想找个地缝钻进去。,读心术
130,你准备的复习资料完全和考试对应不上。,这世界上所有的努力都是白费的，辛苦都是没用的，还努什么力，直接开摆好了。一切都是注定的，改变不了任何事情。,过度泛化
131,你精心饲养的小狗去世了，你感到非常伤心难过。,怪罪自己疏忽。内心深处知道，若非我之过错，它或许还能在世。,个人化归责
132,你爱人前段时候意外去世了。,为什么我什么突发情况都处理不好，我真不知道活着干嘛，没有意义。,非黑即白
133,最近刚升了职，但害怕自己的能力不能胜任,多去学习，多了解成员的性格和能力，就能够组织好大家,非扭曲
134,你辛辛苦苦写的论文，并没有得到同行认可。,我这么努力有什么用，全都是白费，根本看不到收获，再也不相信努力就会有回报了。,非黑即白
135,突然凌晨三点起床，你还是感觉很困，明天工作可能受影响。,好困啊，明天工作状态不好会不会被老板骂啊，有点担心,算命
136,你检测出了脑肿瘤，很彷徨，感到很害怕。,人生完了，没有希望了，这可能是地球上最糟糕的工作。,非黑即白
137,你辛辛苦苦写的论文，并没有得到同行认可。,我就是个彻彻底底的废物，做不好论文的科研渣子,乱贴标签
138,你和朋友每天一起吃饭，突然有一天她没来找你吃饭。,本来今天考试没考好，心情就不好，现在还没人陪我吃饭，今天可真倒霉！,非扭曲
139,父母催着你结婚生子，感到很烦躁。,真不明白结婚生子有什么意义，难道人生的意义在他们眼里就只有这些吗？,非黑即白
140,你主动打招呼，新同学也爱理不理地敷衍一下。,无论我做什么，都无法成功。我的世界，就像瓦解的玻璃，碎片残酷地割伤我。,非黑即白
141,你买了一袋鸭脖，吃鸭脖卡住了喉咙。,太粗心了，最近需要提高警惕。,非扭曲
142,最近你感觉到自己身高并不是很理想。,他们的高个儿让我羡慕，但我的优秀成绩也应该会让他们羡慕。没人完美，也没人一无是处。,非扭曲
143,你成绩很差，虽然很努力学习了，但是结果还是不理想。,这感觉就像谷底，但每次我都认为它是谷底，但事实并非如此。 我从这里去哪里？,过度泛化
144,有一次你听到自己的男女朋友在和异性闺蜜聊天。,如果我的爱人都背叛我，那我活着还有什么意思呢，没有人爱我,非黑即白
145,你精心饲养的小狗去世了，你感到非常伤心难过。,我连一只小狗都照顾不好，就是一个失败的主人，以后再也不要养任何小动物了。,过度泛化
146,这个月，来了很多年轻的同事，他们工作效率很快，工作很好，你感到有些焦躁了。,年轻就是好啊，长江后浪推前浪，我也要加倍努力。虽然年轻人有着无穷的激情，但经验丰富的人更具优势。,非扭曲
147,你被强行拍了裸照，你很难受，不敢告诉其他人。,我被人看光了，我的贞操没了，我的人生也毁了，我这辈子完蛋了,非黑即白
148,你和朋友每天一起吃饭，突然有一天她没来找你吃饭。,吃饭也都没人愿意和我吃了，我还真是失败，都沦落到现在这样被所有人嫌弃的地步了,非黑即白
149,你精心饲养的小狗去世了，你感到非常伤心难过。,它只是任务完成回到汪星过好日子去了,非扭曲
150,为了让他成绩提高，给这个孩子辅导了一段时间，考了70分，你依旧对这个成绩不满意,我自己的孩子都教不好，我真是一个SB,乱贴标签
151,最近工作很忙，你的孩子疏于照顾，你感觉缺少了对孩子的陪伴。,单亲家庭的孩子都是这样，没法拥有足够的父爱和母爱，所以我的孩子不能怪我，我也没办法啊,过度泛化
152,你觉得室友好像天天关系很好，但你无法融入。,大家只是在各忙各的事罢了，哪有人天天有空去到处找人聊天呢。他们肯定觉得我很烦，所以都故意不理我。,读心术
153,早上起床，本来想多睡一会儿，起来发现迟到了。,我怎么这么没有时间观念啊，干什么事都不能准时，活动也迟到，现在就连上课也要睡过头。这就是我一贯的作风，我根本就是个废物。,非黑即白
154,最近刚升了职，但害怕自己的能力不能胜任,老板既然给我升职，就说明了对我能力的肯定，我要相信自己，好好工作，不要辜负老板对我的新人,非扭曲
155,连续两周没接到消息或电话。,我没有真正的朋友，只有几个人，我偶尔会在工作中使用 Snapchat，但如果我死了，他们甚至不会注意到,读心术
156,你准备的复习资料完全和考试对应不上。,我会继续努力练习，只要再多练习一下就可以了。,非扭曲
157,你成绩很差，虽然很努力学习了，但是结果还是不理想。,看来是学习方法有问题，要向老师多请教请教，不能自己闷着头瞎学。,非扭曲
158,在过去的一两个月里，我每周至少有一次因背痛而醒来,坐姿不正确的后果，我算是体验到嘞,非扭曲
159,突然你走在外面，发现自己衣服反了。,好尴尬，街上的人肯定都看到了，他们那些窃窃私语的人就是在偷着嘲笑我，肯定在说我坏话呢。,读心术
160,你努力学习，本来期待着考出好成绩，但你只是勉强及格。,有时候我觉得学校的压力太大了，我可能马上就要完蛋了。,读心术
161,去餐馆吃饭，你发现吃出了一只小虫子。,吃个饭都能吃出来虫子，我可太倒霉了，我以后每次吃饭肯定都会吃到虫子的，毕竟我都吃了这么多了。,过度泛化
162,你本来以为自己可以保研，但最后名单下来并没有你。,我信心满满的以为会有我，现在其他人肯定都会笑话我,读心术
163,很不幸，你最近很难受，还没查出来具体疾病。,无法确诊是什么疾病使我心理压力很大，经常焦虑不安,情绪化推理
164,最近你被骗了，骗子骗走了你所有的钱。,彻底结束了，啥也没有了，我的生活也结束了。,非黑即白
165,过年了，年夜饭上，你同辈的人都有才艺表演，你只能闷头吃饭。,兄弟姐妹都那么有才，他们肯定都在心里看不起我，觉得我一事无成，根本不愿意和我玩。,读心术
166,现在大四了，你本来决定找工作，但是最近又一直在纠结究竟是考研还是工作，感觉迷茫。,就我这样的人，这么一个简单的选择也犹犹豫豫，将来做什么事也都拿不定主意，真的废物。,乱贴标签
167,说好一起出去玩，你却被放了鸽子。,烦死了，我化妆化了一个小时，没空不会早说呀，浪费我时间,非扭曲
168,"你收入很低，妻子收入比较高,你感到了压力。",妻子收入比我高说明看上的不是我的钱是我这个人,非扭曲
169,你正在努力考研，此时你女朋友抱怨你最近忽视了他,我考研这么辛苦了，女朋友还让我烦心，全世界的女朋友都这样，不懂事,过度泛化
170,有人欺负你，说你是一个不重要的人。,他说我是个不重要的人，我很伤心,非扭曲
171,这个月，来了很多年轻的同事，他们工作效率很快，工作很好，你感到有些焦躁了。,不要焦虑，他们虽然年轻，但是我有经验和能力，问题不大,非扭曲
172,你和同学在网吧打游戏，老师突然进来把你抓住了。,那其它同学一定很失望吧，我没有一直在网吧玩，又要抢他们的重点校名额了，不知道有没有人阻止老师抓我,读心术
173,朋友约你出去吃饭，但此时实际上你已经有约了。,我总是会不经意间惹朋友们生气，我觉得我让他们遭受了不幸。,个人化归责
174,父母最近在吵架，没有太管你。,正常孩子都有爱他们的父母，但是我的父母总吵架，不管我，所以我是个不幸的小孩，我的童年充满痛苦，我不快乐,情绪化推理
175,说好一起出去玩，你却被放了鸽子。,这辈子没有人在乎我了。,过度泛化
176,你最近想看自己的毕业照，但你怎么也找不到了。,诶？怎么就找不到了呢？不应该呀，算了等明天找朋友问问他有没有,非扭曲
177,你准备竞选社团主席，你很努力地准备这一切周围人都认为你可以当选，但是最后你不幸落选了。,我觉得我能选上周围的人也觉得我能，但是我最后没有，肯定是有黑幕。,非黑即白
178,你正和某人谈话时，对方的手机响了，但他并没有接起来。,他是因为和我的谈话，没有听见电话吗，我应该提醒一下他。,非扭曲
179,一个星期你只有500元生活费，同学都在吃各种零食，你却没有。,他们都在买吃的，就我不买，他们一定会觉得我不合群或者觉得我穷酸买不起。,读心术
180,最近你骨折了，每次都要你的朋友陪你去楼下，送你上课。,失去了奔跑的自由，只能靠拐杖和朋友帮忙，好悲哀好压抑，不如躺在床上，再也不起来。,情绪化推理
181,你的父亲今天喝醉了酒，暴怒，把你一脚踢出门外。,不必太在意，他可能是因为某些事情而心烦。,非扭曲
182,丈夫觉得妻子每周买衣服太浪费，妻子觉得丈夫给老家人的钱太多了,你每次买衣服花钱如流水，知不知道家里现在得存钱呐？存不了钱，等你老了，病了，没有钱，根本就没人管你，你就自己等死吧！,读心术
183,你最近在父亲的手机里 发现了小三的微信。,我是坏孩子，经常惹他生气，他才去找小三。,个人化归责
184,作为女生，你的生理期遭到了同学们的嘲笑。,来生理期真的太可怕了，不仅身体上难受，精神上我还会受到其他人嘲笑。,情绪化推理
185,新冠疫情时候，你作为医护人员需要无偿加班,如果我提出说我们也需要加班费，那么以后的日子肯定就不好过了，会遭到别人的冷眼和挤兑,算命
186,你成绩很差，虽然很努力学习了，但是结果还是不理想。,不能让别人知道我努力还是没结果，这样肯定会被大家嘲笑的,读心术
187,你的同事，同一年进公司，你感觉她总喜欢压你一头,可能是我产生了错觉，或许是因为这个同事她经常参与公司的一些汇报工作。,非扭曲
188,你面对校园各种各样的活动，充满了兴趣，却又担心失败,没有办法，我就是没有勇气去参加说什么也没有用，我永远都是这样的软弱，改不了了。,过度泛化
189,早上起床，本来想多睡一会儿，起来发现迟到了。,我怎么不定个闹钟再睡！我真蠢，被骂也是活该，一点自知自明都没有。我根本就是一个愚蠢的懒鬼。,乱贴标签
190,你管教孩子时，孩子们开始顶嘴，表达自己的意见，甚至公然反对你。,我辛辛苦苦教了十几年的孩子！竟然对我如此的无理，什么都完了，我白养他们这么多年了，我这辈子是指望不上他们了，真是不孝的孩子。,非黑即白
191,你定的酒店告诉你，酒店已经满员了，很显然你没有订上酒店。,什么都订不上，玩也玩不开心，我出门就是个错误，就该在家呆着待哪也不去。,过度泛化
192,同学们都出去了，你一个人待在教室，感到自己有些孤独。,没有人会跟我一起结伴的，我这大学生活注定一个人，没有人会理回我,过度泛化
193,你最近怀孕了，感觉很难受。,想到我妈妈当时也经历了这些痛苦才生下我，感觉自己是个不可饶恕的罪人,个人化归责
194,去餐馆吃饭，你发现吃出了一只小虫子。,好不干净的餐馆，下次不来了,非扭曲
195,突然凌晨三点起床，你还是感觉很困，明天工作可能受影响。,索性睡不着，或许我应该再也不试图入睡，我必然陷入一个无眠的黑洞。,非黑即白
196,同学们都出去了，你一个人待在教室，感到自己有些孤独。,一个人还挺安静的，我就利用这个时间好好学习吧,非扭曲
197,你长得很肥，都很胖。,减肥有什么用，就算我减肥了也不会改变什么,算命
198,你一直生活在一个经济状况比较差的家庭，父母收入并不高。,每次从别的条件好的人家经过我都感到很羞耻，他们肯定在偷偷嘲笑我，拿我当笑话似的羞辱,读心术
199,你被强行拍了裸照，你很难受，不敢告诉其他人。,人生中有了这么大的一块污点，我这一辈子还有什么希望,过度泛化
200,突然凌晨三点起床，你还是感觉很困，明天工作可能受影响。,别人也会经历这样的情况，但他们都可以克服，只有我不行。,个人化归责
