Original Text,Label,Emotional Reasoning,Overgeneralization,Should Statements,Personalization,Mental Filter,Disqualifying the Positive,Jumping to Conclusions,Labeling and Mislabeling,Magnification and Minimization,All-or-Nothing Thinking,text_length
"Là người trung niên, đứa con trai độc nhất của tôi đã qua đời và tôi nghĩ Tôi đã là người trung niên rồi, sau này chắc chắn không thể có con được nữa.",1,0,0,0,0,0,0,1,0,0,0,34
"Tôi đột nhiên phát hiện nhà mình bị trộm, còn phải báo cảnh sát, còn phải bắt người, còn phải điều tra camera, còn không biết có lấy lại được tiền không, phiền phức như vậy tôi thật sự không muốn quản nữa. Tại sao chuyện này luôn xảy ra với tôi, cuộc sống của tôi luôn đầy rắc rối như vậy.",1,1,0,0,0,0,0,0,0,0,0,62
"Tôi phải luôn giữ lời hứa, dù điều đó có gây khó khăn cho tôi.",1,0,0,1,0,0,0,0,0,0,0,15
"Tôi tưởng mình có thể được bảo lưu học bổng nghiên cứu sinh, nhưng cuối cùng danh sách công bố lại không có tôi. Mọi thứ tôi mong đợi đều không có kết quả, tôi không nên ngốc nghếch mà mong đợi bất cứ điều gì.",1,0,1,0,0,0,0,0,0,0,0,46
"Thực sự cảm thấy mình không xứng đáng làm gì cả, thật vô dụng. Dù sao cũng sẽ cô đơn mãi, tại sao không thể thích nghi và từ bỏ sớm hơn chứ?",1,0,0,0,0,0,0,0,1,0,0,33
"Bạn bè nói tôi là người đáng tin cậy, nhưng họ không biết tôi cũng có những lúc lưỡng lự.",1,0,0,0,0,0,1,0,0,0,0,20
"Bác sĩ khuyên tôi nhập viện, nhưng mẹ kiên quyết không đồng ý, lo lắng sau khi nhập viện tôi không thể quay lại trường học. Nhưng trong tình huống của tôi, trường còn có thể cho tôi quay lại không?",0,0,0,0,0,0,0,0,0,0,0,41
"Tôi dường như không thể hòa nhập vào thế giới này, mọi người và mọi việc, dù có biến mất một ngày, có lẽ cũng không ai phát hiện ra đâu! Bởi vì đối với họ, tôi là người có cũng được không có cũng được.",1,0,0,0,0,0,0,1,0,0,0,46
"Xã hội nên chấp nhận mọi sự khác biệt, không được kỳ thị.",1,0,0,1,0,0,0,0,0,0,0,13
"Nhưng trong năm vừa qua, tôi đã đi xa hơn thế, đúng hơn là những gì tôi gọi là xu hướng hoang tưởng. Thậm chí đến mức tôi sợ nói cho mọi người biết tên, tuổi và những thông tin tương tự của mình, vì vậy tôi thường nói dối.",1,0,0,0,0,0,0,0,0,1,0,50
"Mình được nhận vào công ty này, chắc là do ít ứng viên nên mình mới có cơ hội.",1,0,0,0,0,0,1,0,0,0,0,19
"Tôi có kết quả học tập kém, mặc dù tôi đã học rất chăm chỉ nhưng kết quả vẫn không như mong đợi. Tôi không có năng khiếu học tập, sinh ra đã đần độn như vậy, thi cử sẽ không bao giờ có kết quả tốt.",1,0,1,0,0,0,0,0,0,0,0,47
"Mẹ tôi khi ngủ thường xuyên ngáy to, chảy nước mũi, kêu gào rất đáng thương, còn nói 'đánh nó đi, mau lên!' Phải làm sao đây? Sợ hãi sự tủi thân của bà trong giấc mơ.",0,0,0,0,0,0,0,0,0,0,0,37
"Mối tình 5 năm, bạn trai đi thăm người yêu cũ một lần, về nói rằng chúng ta đừng tiếp tục nữa, chỉ làm tri kỷ thôi.",0,0,0,0,0,0,0,0,0,0,0,27
"Vốn dĩ đi làm đã rất mệt rồi, buổi tối lại không muốn ngủ sớm, dù biết là không tốt, chuyện này là sao vậy?",0,0,0,0,0,0,0,0,0,0,0,25
"Tôi luôn muốn là chính mình, muốn trở thành người tôi muốn, nói những gì tôi muốn nói, liệu tôi có trở thành một kẻ vô dụng không?",0,0,0,0,0,0,0,0,0,0,0,28
Tôi tệ quá;; người khác cho chút ấm áp;; tôi ước gì có thể cho họ tất cả những điều tốt đẹp của mình.,1,0,0,0,0,0,0,0,1,0,0,24
"Công ty cũ của tôi hoạt động không tốt và phá sản, nên tôi đã thất nghiệp nửa năm. Tôi nghĩ mấy tháng thất nghiệp này không hề lãng phí, tôi đã tích lũy được những kỹ năng mới, bây giờ tôi mạnh mẽ hơn trước, có kinh nghiệm làm việc, không lo lắng về vấn đề cuộc sống khi tìm việc làm lại.",0,0,0,0,0,0,0,0,0,0,0,64
"Tôi chịu đựng đủ rồi, mẹ tôi luôn đả kích tôi, tôi muốn được vui vẻ hơn, làm sao để thoát khỏi đây?",0,0,0,0,0,0,0,0,0,0,0,23
"Sao tôi có thể mắc lỗi đơn giản như vậy, họ có nghĩ tôi ngốc không, tôi thực sự chẳng làm được gì, tôi thật thất bại.",1,0,0,0,0,0,0,1,0,0,0,27
"Trường học đột nhiên mất điện, làm hỏng thiết bị điện của tôi. Tôi đúng là sao chổi giáng trần, sao mọi chuyện xui xẻo đều đổ dồn lên tôi vậy.",1,0,0,0,0,0,0,0,1,0,0,31
"Tôi chỉ giúp đỡ được một phần nhỏ bé thôi, chẳng đáng gì.",1,0,0,0,0,0,0,0,0,1,0,13
Đáng lẽ tôi phải giữ bình tĩnh trong cuộc tranh luận đó.,1,0,0,1,0,0,0,0,0,0,0,12
"Chúng tôi muốn đưa thằng bé đến gặp giáo viên của nó vào ngày mai và bắt nó trả lại đồ, nhưng sợ rằng nó sẽ bị tổn thương xã hội suốt đời và tệ hơn, nó có thể sa sút làm những điều tồi tệ hơn cho chúng tôi nếu chúng tôi để bạn bè nó biết.",0,0,0,0,0,0,0,0,0,0,0,58
"Tôi cảm thấy đôi khi giáo viên còn chưa đọc xong, bạn học của tôi đã biết câu trả lời đúng rồi. Người khác làm ra rồi tôi còn nghĩ đáp án làm gì nữa, đừng học nữa, cứ nghe anh ấy giảng bài cho chúng ta không được sao.",1,0,0,0,0,0,0,0,0,0,1,50
"Có người bắt nạt tôi, nói tôi là người không quan trọng. Anh ta chắc chắn sẽ nói xấu tôi sau lưng, rồi tất cả mọi người sẽ xa lánh tôi.",1,0,0,0,0,0,0,1,0,0,0,31
"Tự ti, nhạy cảm, đa nghi, ích kỷ. Tất cả những từ ngữ tồi tệ, dơ bẩn nhất đều là tôi.",1,0,0,0,0,0,0,0,1,0,0,21
"Sáng nay đánh răng nhìn mình trong gương, không nhịn được mà nôn khan. Ngay cả bản thân tôi còn không thể nhìn nổi, huống hồ là người khác. Tôi vừa ngưỡng mộ những cô gái khác, đồng thời cũng cảm thấy mình thật bi ai.",1,0,0,0,0,0,0,0,0,1,0,46
"Tôi và người bạn thân nhất của mình xảy ra tranh cãi, cả hai không ai chịu nhường ai, tuyên bố sẽ tuyệt giao. Tôi nghĩ đây không phải là lần đầu tiên rồi, cô ấy chưa bao giờ chịu nhường nhịn, lần nào cũng là tôi phải nhường, lần này tôi nhất quyết không! Cô ấy chắc chắn là một người ích kỷ, hoàn toàn không quan tâm đến cảm xúc của tôi.",1,0,1,0,0,0,0,0,0,0,0,74
"Bạn bè không được nói xấu sau lưng tôi, đó là điều tối kỵ.",1,0,0,1,0,0,0,0,0,0,0,14
"Tôi luôn sống trong một gia đình có điều kiện kinh tế khá khó khăn, thu nhập của bố mẹ không cao. Bố mẹ đã cố gắng hết sức rồi, tôi phải cố gắng gấp đôi để kiếm được mức lương tốt hơn để phụ giúp gia đình.",0,0,0,0,0,0,0,0,0,0,0,48
"Buổi thuyết trình của tôi được khen là rõ ràng, nhưng tôi chỉ nhớ đến một vài lỗi chính tả.",1,0,0,0,0,1,0,0,0,0,0,20
Tôi không thể nhớ lần cuối cùng tôi được thư giãn hoặc hoàn toàn thoát khỏi những nỗi đau này.,1,0,0,0,0,1,0,0,0,0,0,20
"Tôi là người đồng tính, tôi cảm thấy rất áp lực, không ai xung quanh hiểu tôi. Không ai hiểu tôi, tôi sẽ không bao giờ hạnh phúc, tôi sẽ mãi sống trong sự kìm nén.",1,0,1,0,0,0,0,0,0,0,0,36
Sao tôi lại trông lộn xộn thế này?,1,0,0,0,0,0,0,0,1,0,0,8
"Mấy kỹ năng tôi có cũng chỉ là do tôi được đào tạo thôi, không phải tự nhiên mà có.",1,0,0,0,0,0,0,0,0,1,0,20
"Hôm nay tôi buồn quá. Ban đầu tôi nghĩ đó chỉ là cảm xúc trầm cảm thôi. Hình như từ khi ông nội mất vào năm 2018, tôi cứ khóc vô cớ. Nhưng tôi nhớ lại từ trước đến nay tôi chưa bao giờ thực sự vui vẻ cả. Zou Fan, tôi phải làm sao đây?",1,0,1,0,0,0,0,0,0,0,0,56
"Trong một hai tháng qua, ít nhất mỗi tuần tôi thức dậy một lần vì đau lưng và tôi nghĩ Ngay cả một giấc ngủ ngon cũng không được, thật khốn kiếp, có cho người ta sống không đây.",1,1,0,0,0,0,0,0,0,0,0,39
"Tôi và bạn trai, ít khi gặp nhau, tôi rất bám dính anh ấy, mọi lúc mọi nơi đều muốn ở bên anh ấy",1,0,0,0,0,0,0,0,0,0,1,24
"Tôi vừa ăn một bữa ăn ngon, nhưng tôi cứ nghĩ về việc mình đã ăn quá nhiều.",1,0,0,0,0,1,0,0,0,0,0,18
"Hôm qua tham gia tiệc của đồng nghiệp, những người trẻ hơn tôi làm việc rất chăm chỉ, có gia đình con cái, còn mình thì vẫn chẳng ra gì, lập tức cảm thấy hơi ngượng, không biết cuối cùng mình sẽ ra sao.",1,0,0,0,0,1,0,0,0,0,0,44
"Tôi đối mặt với đủ loại hoạt động trong khuôn viên trường, tràn đầy hứng thú nhưng lại lo lắng thất bại. Tôi đúng là một kẻ hèn nhát, rõ ràng rất hứng thú với những hoạt động này, nhưng lại không dám tham gia.",1,0,0,0,0,0,0,0,1,0,0,45
"Càng lớn, tôi và bố mẹ càng ít nói chuyện, tôi thích thì họ phản đối, họ thích thì tôi không thích, làm sao để giải quyết vấn đề này?",0,0,0,0,0,0,0,0,0,0,0,30
Mọi người xung quanh nên tử tế với nhau hơn.,1,0,0,1,0,0,0,0,0,0,0,10
"Bố tôi giữ cô ấy để cố gắng ngăn cô ấy, và khi cô ấy đang cố gắng thoát ra, cô ấy nhìn lại tôi và nói với tôi rằng nếu cô ấy chết thì đó là lỗi của tôi. Điều này dẫn đến việc tôi tin rằng mọi thứ luôn là lỗi của tôi.",1,0,1,0,1,0,0,0,0,0,0,55
"Thứ Ba tuần này tự tử không thành, làm kinh động đến trường, đồn công an, tuần sau chuẩn bị quay lại trường… Tôi vẫn rất sợ họ… Phải làm sao đây?",0,0,0,0,0,0,0,0,0,0,0,32
"Tôi tham gia câu lạc bộ cũng không kết bạn được, không có người quen. Không sao, từ từ thôi, đừng vội, chúng ta sẽ dần dần xây dựng tình bạn.",0,0,0,0,0,0,0,0,0,0,0,31
"Ngày mai phải đi chơi với bạn cùng phòng. Thật ra tôi không vui lắm, thậm chí không muốn đi. Nhưng tôi biết tôi không thể như vậy. Tôi không thể lúc nào cũng ích kỷ như thế, không thể lúc nào cũng mang những cảm xúc kỳ lạ của mình đến cho người khác. Nhiều lúc tôi không kiểm soát được, nhưng cũng phải cố gắng kiểm soát khi có thể, đừng để những người xung quanh bị tôi ảnh hưởng. Mọi người đều là những người tốt, chỉ có tôi là xấu thôi.",1,0,0,0,1,0,0,0,1,0,0,95
"Ở bên một người khác giới mỗi ngày, cũng làm một số chuyện như các cặp đôi yêu nhau, nhưng tôi không thể phân biệt được bây giờ là thích hay là phụ thuộc, không có cảm giác như người yêu với ta, nhưng lại không thể rời xa ta.",0,0,0,0,0,0,0,0,0,0,0,50
"Con cái tôi rất ngoan, nhưng tôi cứ nghĩ về một lần chúng không nghe lời.",1,0,0,0,0,1,0,0,0,0,0,16
"Tôi vô dụng, tôi vô dụng",1,0,0,0,0,0,0,0,1,0,0,6
"Từ cấp 2 cấp 3 đã có vấn đề này, biết người khác giới thích mình là sẽ nảy sinh cảm xúc ghét bỏ, phản cảm, chống đối, tôi có vấn đề tâm lý không… (trừ nguyên nhân gia đình).",1,1,0,0,0,0,0,0,0,0,0,40
"Bố mẹ tôi luôn so sánh tôi với những đứa trẻ khác, tôi cảm thấy rất khó chịu. Nếu thích con nhà người ta đến vậy, thì cứ trực tiếp làm bố mẹ của chúng đi. Chắc chắn tôi không phải là đứa con mà họ muốn.",0,0,0,0,0,0,0,0,0,0,0,47
Thật ra tôi rất tự ti,1,0,0,0,0,0,0,0,1,0,0,6
"Một ngày nọ, ở trường, tôi vô tình gội đầu (tôi thường gội cách ngày), lúc đó đã rất muộn, tóc không khô thì mất điện. Thêm vào áp lực gần đây, tôi đã suy sụp. Tôi thật sự quá ngu ngốc. Và người bạn thân nhất của tôi, khi tôi phát điên lại nói: Không phải chỉ là tóc chưa khô sao? Tại sao lại như vậy? Cuối cùng tôi cũng biết được bộ mặt thật của con người là gì, chế giễu nỗi đau của người khác mà không suy nghĩ, ngay cả tôi cũng vậy.",1,0,0,0,0,0,0,0,1,1,0,98
"Mọi người đều yêu quý tôi, nhưng tôi cứ nghĩ về việc họ có thể ghét tôi sau lưng.",1,0,0,0,0,1,0,0,0,0,0,19
"Công việc gần đây khá bận rộn, nhưng tôi lại bị cảm. Cảm cúm mà vẫn phải tăng ca, đầu tôi đã đau như thế này rồi, tôi thực sự cảm thấy mình không làm tốt công việc này, tôi không muốn đi làm nữa, hôm nay xin nghỉ đi, dù sao có đi cũng chắc chắn không làm được gì.",1,1,0,0,0,0,0,0,0,0,0,61
"Tôi bị lo âu, trầm cảm, rối loạn ăn uống, và khi tôi hỏi mình có bị PTSD không, nhà trị liệu của tôi nói tôi bị (bất cứ thứ gì). Công việc dài nhất tôi có là năm tháng, và phần lớn các công việc của tôi là công việc thời vụ bán thời gian. Khoảng thời gian làm việc ở bất cứ nơi nào khác cũng vậy. Tôi cảm thấy chán nản, và các bệnh tâm thần của tôi cũng gây khó khăn. Tôi sẽ không bao giờ có thể giữ được một công việc.",1,0,0,0,0,0,0,1,0,0,0,97
Tất cả mọi người đều tốt hơn tôi;; chỉ có mình tôi là tệ hại thôi,1,0,0,0,0,0,0,0,1,1,0,16
"Bạn cùng phòng của tôi đi học rất sớm mỗi ngày, tôi cảm thấy rất áp lực. Bạn cùng phòng của tôi mỗi ngày đều đi học sớm như vậy, có phải là do tôi ồn ào trong ký túc xá làm phiền anh ấy không, anh ấy bị buộc phải ra ngoài học vì tôi.",1,0,0,0,1,0,0,0,0,0,0,56
"Sợ những người có chức vụ cao hơn mình, luôn không dám bày tỏ suy nghĩ hay quan điểm.",1,0,0,0,0,0,0,1,0,0,0,19
"Có người bắt nạt tôi, nói tôi là một người không quan trọng. Bị người khác nói là người không quan trọng khiến tôi rất khó chịu.",0,0,0,0,0,0,0,0,0,0,0,27
"Tâm trạng không ổn định, luôn tức giận, khó chịu, có cách nào để điều chỉnh tâm lý, giữ tâm trạng tốt, lạc quan, tích cực không?",0,0,0,0,0,0,0,0,0,0,0,27
Tôi quá tệ,1,0,0,0,0,0,0,0,1,0,0,3
"Bây giờ đã nghỉ học rồi, có lẽ năm sau tôi vẫn không thể đi học được, tôi chắc là sẽ nghỉ học cả đời mất.",1,0,0,0,0,0,0,1,0,0,0,26
"Bạn gái bị bạn trai cũ ép buộc quan hệ vì sa ngã lại có quan hệ với hai người yêu cũ, nhưng bây giờ tôi rất yêu cô ấy nhưng tôi lại có mặc cảm trinh tiết mạnh mẽ, tôi phải làm sao?",1,0,0,0,0,0,0,0,0,0,1,44
"Gần đây tôi vừa được thăng chức, nhưng sợ năng lực của mình không đủ. Nhỡ tôi thể hiện không tốt thì sao, loại người như tôi thăng chức làm gì, chi bằng sớm thu dọn đồ đạc mà đi, đỡ phải bị sếp phê bình, bị đồng nghiệp cười nhạo.",1,0,1,0,0,0,0,0,0,0,0,51
"Tôi là một cậu bé học lớp 8, tôi hy vọng mình sẽ không bị đánh giá khác hay bị bỏ qua chỉ vì tôi chưa đủ 18 tuổi.",0,0,0,0,0,0,0,0,0,0,0,29
Lại bị phá sản. Tôi không thể và sẽ không bao giờ thoát khỏi nhà tù này ở nhà mẹ tôi,1,0,0,0,0,0,0,1,0,0,0,21
"Luôn buồn bã vô cớ, vô thức suy nghĩ lung tung, không muốn nghĩ nhiều nữa, chỉ muốn sống một cuộc sống đơn giản.",1,1,0,0,0,0,0,0,0,0,0,24
"Đồng cảm là gì, làm thế nào để đặt mình vào vị trí của người khác để nhìn nhận vấn đề?",0,0,0,0,0,0,0,0,0,0,0,21
"Người thân bệnh nặng nhập viện, nhưng trong thời gian dịch bệnh, các thủ tục kiểm tra, biện pháp cách ly rườm rà, không kịp gặp mặt, tiếc nuối, đau lòng, làm sao giải tỏa?",0,0,0,0,0,0,0,0,0,0,0,35
"Tôi thật tồi tệ, tại sao một người như tôi lại được sinh ra? Tôi là một khoảng không đen tối, tôi là một người bình thường không thể bình thường hơn được nữa. Tôi không có niềm tin, không có tình yêu. Tôi không có bạn bè. Tôi ghét công việc và gia đình. Tôi ghét, ghét, ghét, ghét bản thân mình.",1,0,0,0,0,0,0,0,1,0,0,63
Tôi đang nghỉ giải lao uống cà phê và sếp tôi nhắc tôi về công việc cần hoàn thành. Sếp tôi chắc nghĩ tôi lười biếng.,1,0,0,0,0,0,0,1,0,0,0,26
"Bức tranh này đẹp, nhưng tôi chỉ thấy mỗi vết mực nhỏ bị lem.",1,0,0,0,0,1,0,0,0,0,0,14
"Từ trường cấp hai hạng hai vào trường cấp ba trọng điểm, tôi thấy điểm của mình giảm đi nhiều. Mình sinh ra đã có cái đầu ngu ngốc, những thứ này mình đều không học được, mình có học thế nào cũng không học tốt được.",1,1,0,0,0,0,0,0,0,0,0,47
"Tôi đang đi trên đường thì một chiếc xe tải lao tới làm nước bắn tung tóe vào người tôi. Cuộc đời mình cứ thế này mãi thôi, chẳng có chuyện gì tốt đẹp xảy ra cả.",1,0,0,0,0,0,0,1,0,0,0,37
"Mọi người nói tôi có khiếu hài hước, nhưng tôi chỉ kể những câu chuyện đã nghe thôi.",1,0,0,0,0,0,1,0,0,0,0,18
"Vừa nghe một bài FM nói rằng cuộc đời đều vừa vặn, cuộc đời chính là chờ đợi một người, một bữa trà một bữa cơm sống bên nhau trọn đời, nhưng thật sự là vừa vặn sao? Đây chỉ là mong đợi, chứ không phải hiện thực của đa số mọi người đúng không?",0,0,0,0,0,0,0,0,0,0,0,55
"Tôi mượn bạn học một cây bút nhưng bạn học không trả lại. Tôi là một người keo kiệt, sao ngay cả một cây bút cũng muốn đòi lại.",1,0,0,0,0,0,0,0,1,0,0,29
"Tôi hẹn bạn học đi chơi bóng rổ, đến giờ anh ấy lại không đến. Lần tới tôi sẽ không tin tưởng cô ấy đến vậy nữa.",0,0,0,0,0,0,0,0,0,0,0,27
Người chìm đắm trong quá khứ là kẻ ngốc,1,0,0,0,0,0,0,0,1,0,0,9
Có một người bạn cùng phòng ích kỷ,1,0,0,0,0,0,0,0,1,0,0,8
"Công ty cũ của tôi làm ăn không tốt nên đã phá sản, vì vậy tôi đã không có việc làm nửa năm rồi. Vài tháng qua là vài tháng tồi tệ nhất trong cuộc đời tôi.",1,1,0,0,0,0,0,0,0,0,0,37
"Tôi nói cho bạn biết, bạn chẳng tốt chút nào. Tính khí rất tệ, cũng không biết dỗ dành người khác, không có trách nhiệm. Bạn chẳng tốt ở đâu cả.",1,0,0,0,0,0,0,0,1,0,0,31
Dù sao cũng không thể kiểm soát cảm xúc được nữa rồi. Tôi nhất định phải khỏe lại! Hoặc tuyệt đối đừng khỏe lại! Càng tệ hơn càng tốt.,1,0,0,0,0,1,0,1,0,0,0,29
Tôi vừa đến một môi trường mới và cảm thấy mọi người ở đây có vẻ không thân thiện lắm.,1,0,1,0,0,0,0,0,0,0,0,20
"Tôi được mời làm diễn giả, nhưng tôi nghĩ đó là do họ không tìm được ai khác phù hợp hơn.",1,0,0,0,0,0,1,0,0,0,0,21
"Tôi và bố mẹ cãi nhau một trận lớn, sau đó bố mẹ rất buồn, tôi cảm thấy rất có lỗi. Nếu không được bố mẹ tha thứ, tôi sẽ đau khổ cả đời, tôi thực sự không xứng đáng được sống trên đời này.",1,0,0,0,0,0,0,0,0,0,1,45
"Cơm ơi, tôi lúc nào cũng muốn chết. Làm người khó quá, tôi mệt mỏi thật rồi.",1,0,0,0,0,1,0,0,0,0,0,17
"Điểm thi đã có, điểm trung bình học phần của tôi lại giảm xuống, cố vấn nói với tôi rằng có thể bị đuổi học. Không học được kiến thức gì, đi học quá đau khổ, chẳng học được gì cả.",1,1,0,0,0,0,0,0,0,0,0,41
"Tuy nhiên, suy nghĩ đó cứ ám ảnh tôi rằng tôi chỉ đang tìm kiếm sự chú ý.",1,0,0,0,1,0,0,0,0,0,0,18
"Tôi phát hiện PPT mình đã vất vả làm lại không lưu được. Ngay cả một cái PPT đơn giản cũng không làm tốt được, vậy thì tôi có thể làm nên trò trống gì ở các lĩnh vực khác chứ? Chẳng được cái gì cả, cuộc đời tôi, thật là thất bại.",1,0,0,0,0,0,0,0,0,0,1,53
"Ly hôn với vợ cũ ba năm, vẫn ở chung, ngủ riêng phòng, bây giờ đặc biệt muốn tái hợp, nhưng vợ cũ không đồng ý, phải làm sao?",0,0,0,0,0,0,0,0,0,0,0,29
"Khách sạn tôi đặt nói rằng khách sạn đã đầy phòng, rõ ràng tôi không đặt được phòng. Nếu đây là khách sạn cuối cùng cũng không còn phòng, vậy tôi chỉ có thể tìm một nhà nghỉ điều kiện kém hơn để ở.",0,0,0,0,0,0,0,0,0,0,0,44
"Sếp quyết định giảm lương của tất cả nhân viên, tôi cảm thấy rất buồn. Anh ta đột nhiên vô cớ giảm lương như vậy, tám phần là muốn sa thải chúng tôi, nhưng không tiện nói ra, nên muốn chúng tôi tự rút lui.",1,0,0,0,0,0,0,1,0,0,0,45
"Tôi phát hiện ra rằng mình đã vất vả làm PPT nhưng không lưu lại. Ngay cả việc lưu PPT cũng có thể mắc lỗi, tôi làm gì cũng sẽ cẩu thả dẫn đến thất bại, không thể làm tốt được.",1,0,0,0,0,0,0,0,0,0,1,41
"Tôi có được một mối quan hệ tốt, nhưng tôi nghĩ đó là do tôi chịu đựng thôi.",1,0,0,0,0,0,1,0,0,0,0,18
Tôi không nên mắc quá nhiều lỗi.,1,0,0,1,0,0,0,0,0,0,0,7
"Con tôi bị sạch sẽ quá mức thì phải làm sao? Làm thế nào để thay đổi chứng ám ảnh cưỡng chế của cháu, mất bao lâu thì khỏi?",0,0,0,0,0,0,0,0,0,0,0,29
"Trước đây có nhiều bạn bè, kỳ vọng cao, thất vọng cũng nhiều. Bây giờ không muốn hao phí quá nhiều năng lượng và thời gian để kết bạn mới. Tính cách ngày càng cô độc, không có ý muốn kết bạn thân với bất kỳ ai.",1,0,1,0,0,0,0,0,0,0,0,47
"Tôi tìm được một cơ hội tốt, nhưng ai cũng có thể tìm được nếu kiên nhẫn.",1,0,0,0,0,0,1,0,0,0,0,17
"Mất tự tin, cảm thấy mình đặc biệt vô dụng, làm gì cũng không xong, tuyệt vọng.",1,0,0,0,0,0,0,0,1,0,0,17
"Từ nhỏ đến lớn, được nuôi dưỡng chu đáo như vậy nhưng tôi vẫn lớn lên rất tệ.",1,0,0,0,0,0,0,0,1,0,0,18
"Tôi tham gia câu lạc bộ nhưng không kết bạn được, không có người quen và tôi nghĩ cứ chịu khó chơi với mọi người, kết bạn được chỉ là chuyện sớm muộn thôi.",0,0,0,0,0,0,0,0,0,0,0,34
"Tôi vượt qua một giai đoạn khó khăn, nhưng tôi nghĩ đó là do tôi chai sạn rồi.",1,0,0,0,0,0,1,0,0,0,0,18
"Bình thường có thói quen đọc sách, cơ bản mỗi ngày đều đọc sách khoảng một tiếng, nhưng cảm thấy mình đọc không có hệ thống, không hình thành được hệ thống kiến thức của riêng mình, xin hỏi tôi nên làm gì?",0,0,0,0,0,0,0,0,0,0,0,43
"Tôi không phải là một đứa trẻ xinh đẹp, tôi cảm thấy hơi tự ti. Vẻ xấu xí trên khuôn mặt tôi khiến họ không muốn kết bạn với tôi, tình trạng này thực sự khiến tôi cảm thấy vô cùng bất lực.",1,0,0,0,1,0,0,0,0,0,0,43
