Original Text,Emotional Reasoning,Overgeneralization,Should Statements,Personalization,Mental Filter,Disqualifying the Positive,Jumping to Conclusions,Labeling and Mislabeling,Magnification and Minimization,All or Nothing Thinking
Tôi cảm thấy như việc tiếp tục học lên cao hơn sẽ không đáng. Tôi cảm thấy nếu tôi tự mình làm một lĩnh vực nào đó và đắm chìm vào công việc của mình thì nó sẽ cho phép những kẻ ăn bám thành công và dựa dẫm vào tôi.,0,0,0,0,0,0,0,0,0,0
"Sau đó, một ngày nọ, cô ấy lại trút cơn giận dữ tương tự lên tôi vì cô ấy không thích việc tôi làm bài tập MBA của mình. Tôi chưa bao giờ quay lại.",0,0,0,0,0,0,0,0,0,0
Tôi đã sống ở Houston 16 năm và rất khổ sở. Tôi ghét ở đây. nhưng tôi có hai đứa con (6 và 9 tuổi) và đã kết hôn 12 năm. Hôn nhân của tôi thật tồi tệ. Tôi không thể chịu đựng chồng tôi. Mọi thứ anh ấy làm đều khiến tôi khó chịu. Chúng tôi cãi nhau suốt ngày. Chúng tôi không có tiền và mọi thứ dường như tồi tệ hơn mỗi ngày. Tôi sẽ không ngạc nhiên nếu một ngày nào đó tôi mất nhà rất sớm.,0,0,0,0,0,1,0,0,0,0
Tôi đã rất thất vọng về thần tượng thời thơ ấu nổi tiếng này của mình vì đã thay đổi hình ảnh của cô ấy.,0,0,0,0,0,0,0,0,0,0
Tôi nghĩ mình đang phát điên.,0,0,0,0,0,0,0,0,0,0
"Trong vài ngày qua, tình hình rất tệ và tôi đã dành rất nhiều thời gian nghiên cứu các triệu chứng và chúng dường như khớp với những câu chuyện của những người mắc bệnh tâm thần phân liệt cấp tính.",0,0,0,0,0,0,0,0,0,0
"Tôi lớn lên là một học sinh giỏi nhưng vài điều đã xảy ra 5 năm trước và tôi không còn là tôi nữa. Giận dữ là cảm xúc duy nhất tôi có thể cảm nhận sâu sắc, mọi thứ khác đều giống như một cái bóng của những gì tôi nên cảm nhận.",0,0,0,0,0,0,0,0,0,0
"Mặc dù tôi nhắn tin cho cô ấy suốt thời gian tôi đi vắng, cô ấy dường như chỉ tắt cảm xúc và tất cả những gì tôi nhận được chỉ là những câu trả lời một từ.",0,0,0,0,0,0,0,0,0,0
"Trong vài tháng qua, tôi dần dần thấy việc rời khỏi nhà trở nên khó khăn hơn nhiều. Nó ảnh hưởng đến tôi đến mức tôi phải nghỉ học vì tôi bị ốm (buồn nôn) khi ở gần quá nhiều người trong một thời gian dài. Tôi rất sợ nói trước công chúng, làm việc nhóm, hoặc ở gần mọi người nói chung, và rất nhiều điều đó là vì tôi sợ những gì họ sẽ nghĩ về tôi.",0,0,0,0,0,0,0,0,0,0
"Hôm nay tôi quyết định đi gặp một nhà trị liệu tư nhân lần đầu tiên, và sau buổi trị liệu, tôi cảm thấy nó vô ích (trước đây tôi đã gặp một nhà tâm lý học ở trường, và cô ấy hoàn toàn tuyệt vời, và chuyên nghiệp, điều này khiến tôi phải đặt câu hỏi về trải nghiệm hôm nay.)",0,0,0,0,0,0,0,0,0,0
Tôi biết cô ấy không biết mọi chi tiết là tốt hơn nhưng tôi cảm thấy cô ấy có thể xử lý một phiên bản sự thật 'PG'.,0,0,0,0,0,0,0,0,0,0
Điều này đã đến mức khủng hoảng khi tôi phải tạm dừng năm thứ 3 đại học vì tôi cảm thấy rất lo lắng về việc mọi người nghĩ tôi điên và các cuộc họp làm tôi kinh hoàng.,0,0,0,0,0,0,1,0,0,0
Tôi không bao giờ cảm thấy hoàn toàn được nghỉ ngơi dù tôi ngủ bao nhiêu và tôi thường cảm thấy quá tải trong cuộc sống.,0,0,0,0,0,0,0,0,0,0
"Các anh trai của tôi đủ mạnh mẽ để phớt lờ những yêu cầu chú ý của cô ấy, để lại tôi phải an ủi cô ấy và bảo vệ họ.",0,0,0,0,0,0,0,0,0,0
"Tôi đã ly hôn được 11 năm và tôi thực sự không biết mình là ai kể từ khi tôi không còn là một người mẹ trực tiếp chăm sóc con. Tôi cô đơn, bối rối và đau khổ. Tôi đang cố gắng tuyệt vọng để bám trụ.",0,0,0,0,0,0,0,0,0,0
Tôi là cây hài trong nhóm bạn bè của mình và là “người lạc quan tràn đầy năng lượng điên cuồng” luôn làm mọi người vui vẻ.,0,0,0,0,0,0,0,1,0,0
Tôi cũng đã cố gắng tự cắt cổ tay ba lần vì tôi cảm thấy vô giá trị. Tôi cũng bị hoang tưởng về việc nhiễm vi khuẩn như tôi rửa tay bằng cồn mỗi lần.,0,0,0,0,0,0,0,0,0,0
"Dù vậy, mẹ tôi luôn nhìn tôi với vẻ khó chịu.",0,0,0,0,0,0,1,0,0,0
Nhưng chuyện này xảy ra quá nhiều và con trai tôi không nên bị đối xử như vậy.,0,0,0,0,0,0,0,0,0,0
"Tôi đã đặt câu hỏi về sự phù hợp trong suốt thời gian đó, nhưng tôi đã thực sự cải thiện và cảm thấy cô ấy đang giúp tôi nên tôi luôn cho rằng đó là vấn đề của tôi khi tôi đặt câu hỏi về sự phù hợp.",0,0,0,0,0,0,0,0,0,0
Điều này đã thực sự bắt đầu ảnh hưởng đến mối quan hệ của tôi và tôi không thể ngạc nhiên vì tôi biết đôi khi tôi có thể là một cơn ác mộng.,0,0,0,0,0,0,0,0,0,0
"Tôi sợ rằng sự việc này sẽ luôn là một vết nhơ trong hồ sơ mối quan hệ của tôi với anh ấy, và rằng anh ấy sẽ chỉ thấy nỗi đau bị phản bội và lừa dối, khi đó không phải là ý định của tôi.",1,0,0,0,0,0,0,0,0,0
"Không ai hiểu tôi, và tôi không thể giải thích vì Chúa biết họ sẽ phản ứng thế nào.",0,1,0,0,0,0,0,0,0,0
"Tôi cảm thấy bị cướp đi cơ hội nói chuyện với cô ấy. Bây giờ bố cô ấy muốn tôi nói chuyện với cô ấy, mẹ cô ấy muốn tôi đi tư vấn, và tôi muốn phớt lờ vì tôi thành thật nghĩ rằng đây là một loại bẫy mà mẹ cô ấy đang giăng ra với hy vọng giành được quyền nuôi con toàn phần.",1,0,0,0,0,0,0,0,0,0
"Nhưng cô ấy rất thao túng, kiểm soát và độc ác.",0,0,0,0,0,0,0,0,0,0
"anh trai tôi luôn được mọi thứ, anh ấy đến gặp bố tôi và nhận được £30 hoặc hơn mỗi lần anh ấy nhận tiền cho những thứ khác hàng ngày và khi tôi đến gặp bố tôi, tất cả những gì tôi nhận được chỉ là £5. Anh trai tôi cũng nhận được một chiếc Xbox Connect từ bố tôi. Tôi đã hỏi bố tôi một chiếc Xbox 360 và ông ấy nói ông ấy không có tiền nhưng ông ấy luôn mua đồ cho anh trai tôi và khi anh trai tôi về nhà, anh ấy khoe khoang về nó và tôi bắt đầu chán ngán. Sinh nhật tôi đến và tất cả những gì ông ấy tặng tôi chỉ là một món đồ trang trí nhỏ. Tôi không muốn tỏ ra vô ơn, chỉ là ông ấy đối xử với anh trai tôi khác với tôi, ông ấy nên đối xử với cả hai chúng tôi như nhau nhưng ông ấy không làm. Tôi nghĩ đó là sự thiên vị.",1,0,0,0,0,0,0,0,0,0
"Tôi 17 tuổi và lẽ ra phải vào đại học vào năm tới, nhưng tôi quá sợ hãi không biết có nên đi không. Tôi có tiền sử trầm cảm, lòng tự trọng rất thấp, và tôi biết tôi có nhiều triệu chứng của OCD và lo âu, đặc biệt là GAD. Ý nghĩ đi đại học vào thời điểm này khiến tôi kinh hoàng vì tôi lo lắng rằng tất cả các vấn đề của mình sẽ ngày càng trở nên tồi tệ đến mức tôi không thể đối phó được nữa.",0,0,0,0,0,1,0,0,0,0
Tôi không thể tưởng tượng được cuộc sống không có anh ấy. Tôi chưa bao giờ yêu ai như tôi yêu anh ấy. Vấn đề duy nhất là chúng tôi cãi nhau suốt ngày. Anh ấy thực sự làm tôi phát điên và chúng tôi hiếm khi hạnh phúc nữa.,0,0,0,0,0,1,0,0,0,0
"Biết rằng tôi không kiểm soát được sự kết nối của người khác, tôi không thể tránh khỏi việc có điện thoại của ai đó trước mặt khi những người tôi ở cùng muốn cho tôi xem ảnh hoặc thứ gì đó trên Facebook (mà tôi đã cố tình bỏ khỏi), điều này khiến tôi khó chịu nhưng tôi không muốn thô lỗ hay tự cao, nó khiến tôi không muốn ở gần bạn bè/người thân, nó cũng khiến tôi chán nản, tôi đang tìm kiếm các chiến lược để đối phó với điều này.",0,0,0,0,0,0,0,0,0,0
"tôi có tất cả mọi thứ khiến tôi ghét bản thân, tôi đến phòng tập gym nhưng vẫn ghét bản thân, tôi cũng đã cố gắng điều trị mụn trứng cá nhưng không có tác dụng. điều này thực sự ảnh hưởng đến lòng tự trọng và cuộc sống xã hội của tôi, tôi không cảm thấy tự tin chút nào và tôi ghét bản thân",0,0,0,0,0,1,0,0,0,0
"Tôi một phần sợ làm điều sai, nói điều sai, cử chỉ sai, hành động không đúng chỗ như mọi khi.",0,0,0,0,0,0,0,0,0,0
"Tôi cảm thấy vô giá trị và không được yêu thương, và một ngày nọ, tôi nhận ra điều này là đúng. Tôi nghĩ đó là lỗi của tôi, ngay cả khi tôi đã được bảo rằng không phải.",0,0,0,1,0,0,0,0,0,0
Tôi cảm thấy mình đã quá già để phải vật lộn với điều này vào thời điểm này trong cuộc đời.,0,0,0,0,0,0,0,0,0,0
Và tôi bắt đầu cảm thấy mình nên từ bỏ mọi cố gắng.,0,0,0,0,0,0,0,0,0,0
"Xin chào, tôi đã phải đối mặt với vấn đề này, tôi khá lo lắng mình có thể là một kẻ ấu dâm, tôi 16 tuổi và lẽ ra không nên lo lắng về điều này, tôi cảm thấy như vậy nhưng nó cứ ăn mòn tôi, tôi chưa bao giờ có ham muốn chạm vào một đứa trẻ, và khi tôi làm điều đó là trước khi tôi dậy thì (khi còn là một đứa trẻ) khi tôi 14 tuổi, tôi đã có mối quan hệ với một người lớn hơn tôi một chút (cô ấy khoảng 15 tuổi), tôi thành thật cảm thấy như mình đang yêu người này, ngay sau đó chúng tôi chia tay và điều đó thực sự hủy hoại tôi về mặt cảm xúc trong một thời gian, tôi đã được chẩn đoán mắc chứng trầm cảm mãn tính và lo âu xã hội, mẹ tôi khá chắc chắn tôi bị OCD chỉ qua cách tôi nói về mọi thứ.",0,0,0,0,0,0,0,0,0,0
"Tôi đã căm ghét bản thân đến cùng cực, phá hoại mọi tài năng nghệ thuật mà tôi có, từ kỹ năng viết, kỹ năng vẽ, một giọng hát đẹp, về cơ bản mọi khía cạnh tài năng nữ tính của tôi, tôi đều ghét bỏ.",0,0,0,0,0,0,0,0,0,0
Vấn đề là anh ấy dường như không quan tâm chút nào.,0,0,0,0,0,0,0,0,0,0
"Tôi cảm thấy tê liệt hoặc buồn, và tôi cũng rất lo lắng rằng bạn trai tôi không còn thích tôi nữa hoặc đang lừa dối (mặc dù anh ấy không có lý do gì để tôi cảm thấy như vậy).",1,0,0,0,0,0,0,0,0,0
"Tôi có lòng tự trọng cực kỳ thấp mà không rõ lý do; mẹ và gia đình tôi luôn cố gắng hết sức để nói với tôi rằng tôi xinh đẹp, và đôi khi tôi cảm thấy như vậy, nhưng đôi khi tôi cảm thấy thật khủng khiếp, điều này thật ích kỷ khi tôi nghĩ về nó. Tôi cũng cảm thấy rất tự ti về tính cách của mình, vì cảm thấy như không ai thích tôi, có lẽ nghĩ tôi phiền phức hoặc tôi không đáng để họ nói chuyện.",0,0,0,0,0,1,0,0,0,0
"Và tôi cảm thấy mình sẽ không bao giờ là người đàn ông mà cô ấy thực sự ngưỡng mộ, không phải là một nhạc sĩ tài năng và thơ mộng, nổi tiếng",0,0,0,0,0,0,1,0,0,0
"Bạn trai tôi chỉ trích tôi suốt ngày, đặc biệt là trong vài tháng gần đây kể từ khi anh ấy đi gặp bác sĩ tâm lý.",0,0,0,0,0,0,0,0,0,0
"Xin chào, cảm ơn bạn đã đọc, Mọi người nói suy nghĩ quá nhiều là nghĩ về một vấn đề đã cho quá nhiều đối với tôi, giả sử tôi gặp một số rắc rối một tuần trước và bây giờ tôi đã đưa ra quyết định và vấn đề đó đã được giải quyết và tôi biết điều đó, tuy nhiên khi tôi rảnh rỗi hoặc hạnh phúc, tôi buộc mình phải nghĩ về nó và mọi thứ, tôi không thể dừng lại và tôi làm điều đó cho đến khi tôi không còn cảm thấy hạnh phúc.",0,0,0,0,0,0,1,0,0,0
"Đây là về những vấn đề nhỏ, không thiết yếu, ít nhất là đối với tôi.",0,0,0,0,0,0,0,0,0,0
những người khác lớn lên như những đứa trẻ bình thường nên tôi trở nên quá kỳ lạ đối với họ.,0,0,0,0,0,0,0,0,0,0
"Tôi có thể sống hạnh phúc nhưng đôi khi tôi chỉ có một thôi thúc mạnh mẽ muốn giết ai đó. Cảm giác như có thứ gì đó đang kéo tôi vào một khoảng trống và chỉ kiểm soát tôi. Tôi sợ phản ứng của gia đình mình vì tôi đã giả vờ là một người khác trong suốt cuộc đời. Tôi cũng sợ đi gặp bác sĩ trị liệu, vì họ là chuyên gia và tôi không chắc liệu mình có thể giữ mặt nạ hay không.",0,0,0,0,0,0,0,0,0,0
Tôi sợ mọi người có thể nghe thấy những gì tôi đang nghĩ và tất cả họ chỉ đang cố gắng che giấu điều đó khỏi tôi.,1,0,0,0,0,0,0,0,0,0
Tôi cứ tự nhủ có lẽ cô ấy sẽ hiểu và tôi cố gắng mạnh mẽ nhưng mỗi lần đều khóc vì cô ấy khiến tôi cảm thấy tồi tệ đến mức nào. Tôi cố gắng tỏ ra mạnh mẽ về mặt tinh thần nhưng nó đang giết chết tôi.,0,0,0,0,0,0,0,0,0,0
"Tôi đã hai lần cố gắng tự tử và tôi đổ lỗi cho mẹ tôi về điều đó. Tôi nghĩ cô ấy là một người khủng khiếp, không yêu tôi hay bất cứ ai ngoài bản thân mình.",0,0,0,0,0,0,0,1,0,0
Đôi khi tôi còn nghĩ mình thực sự mong muốn chúng hay tại sao chúng lại luôn ở trong tâm trí tôi?,0,0,0,0,0,0,0,0,0,0
"Nếu tôi thắng một cái gì đó, tôi không cảm thấy gì, tương tự như khi thua, xem phim, những pha giật mình, cái chết, những bất ngờ, sinh nhật, hoặc bất cứ điều gì mà một người bình thường sẽ phản ứng.",0,0,0,0,0,0,0,0,0,0
"Bây giờ chúng tôi mới nhận ra rằng nhiều thử thách trong cuộc sống của chúng tôi là kết quả của sự bỏ rơi, dối trá, tự ái và sự miễn cưỡng thừa nhận chứng bệnh hoang tưởng (mà gần như khiến chúng tôi sợ chết khiếp khi còn nhỏ) hoặc tìm kiếm liệu pháp cho chứng tội lỗi của người sống sót khi mẹ cô ấy bị một người lái xe say rượu giết chết.",0,0,0,0,0,0,0,0,0,0
"Tôi có những tưởng tượng gợi cảm này mà tôi đã có suốt đời. Đối với tôi, chúng không đáng lo ngại. Tôi hoàn toàn thích chúng nhưng tôi không muốn vào tù.",0,0,0,0,0,0,0,0,0,0
"Tôi có thể đang đi bộ trong hành lang ở nơi làm việc, chào ai đó, họ nhìn thẳng vào tôi và tiếp tục đi. Điều đó khiến tôi cảm thấy như mình có thể chết bên trong.",0,0,0,0,0,0,0,0,0,0
Những người vô hình kỳ lạ này thực sự làm tôi choáng ngợp và đang khiến tôi không thể tập trung vào lớp học chút nào.,0,0,0,0,0,0,0,0,0,0
Tôi cũng đang đối mặt với khả năng mang thai đứa con thứ hai của anh ấy mà thành thật mà nói tôi không nghĩ mình có thể có được vì tôi đã sinh mổ và tôi sợ mình sẽ không đủ mạnh mẽ về mặt tinh thần để trải qua một thai kỳ khác vì trải nghiệm lần trước quá khó khăn.,0,0,0,0,0,0,1,0,0,0
Mối quan tâm chính của tôi là những giọng nói này không phải là nguyên nhân của bệnh lưỡng cực của tôi mà là một căn bệnh hoàn toàn mới (có thể là tâm thần phân liệt) đang bắt đầu xuất hiện.,0,0,0,0,0,0,0,0,0,0
Tôi luôn cảm thấy có người đang nhìn tôi.,0,0,0,0,0,0,0,0,0,0
"Tôi không thể giao tiếp với cô ấy trong hầu hết mọi khía cạnh trong cuộc sống của tôi, vì chúng tôi không thể hiểu nhau.",0,1,0,0,0,0,0,0,0,0
"Vấn đề là, tôi biết mình phải làm việc chăm chỉ và nhanh chóng khẳng định bản thân và hỗ trợ gia đình nhưng tôi lại bỏ qua tình hình và chơi game hoặc lướt internet cả ngày (tôi không thích làm điều này nhưng tôi vẫn làm và cảm thấy trống rỗng) và khi trời tối, tôi tự nhủ 'Ngày mai tôi sẽ bắt đầu', và chu kỳ cứ tiếp diễn.",0,0,0,0,0,0,0,0,0,0
Tôi cảm thấy như mình luôn QUÁ tập trung vào những gì người khác nghĩ và tôi chỉ cảm thấy rất lúng túng hầu hết thời gian.,0,0,0,0,0,0,0,0,0,0
Cô gái này thật không thể chịu nổi! Cô ấy ích kỷ và không thể nghĩ cho ai khác ngoài bản thân. Tôi tin rằng cô ấy đã đủ lớn để chịu trách nhiệm về những gì mình làm sai và làm phần của mình để giúp chúng tôi trở thành một gia đình.,0,0,0,0,0,0,0,1,0,0
"Tôi đang tìm lời khuyên về cách có một cuộc trò chuyện mang tính xây dựng với bố mẹ theo đạo Cơ đốc bảo thủ của tôi về những tác động tiêu cực mà sự giáo dục Cơ đốc hà khắc của tôi đã tạo ra và thảo luận về việc khi/nếu tôi có con, tôi không muốn những niềm tin này ở bất cứ đâu (hoàn toàn) xung quanh con tôi cho đến khi chúng lớn và có thể hình thành ý kiến của riêng mình.",0,0,0,0,0,0,0,0,0,0
"Trầm cảm đang hủy hoại tôi, tôi tự cắt tay nhiều lần mỗi ngày và tôi không muốn sống hầu hết thời gian. Tôi không muốn phải cảm thấy như vậy và tôi luôn cố gắng che giấu nó và hạnh phúc nhưng nó không bao giờ có tác dụng và tôi đang mất hy vọng và hạnh phúc mỗi ngày, tôi chỉ cần một cái gì đó để giúp tôi. Tôi đã cố gắng tự tử nhiều lần nhưng tôi không thể tự mình làm được và tôi cảm thấy như mình không còn gì để sống nữa.",0,0,0,0,0,0,0,0,0,0
